REC,RIA_RTE_ID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,DI,CO,CITY,RU,F_SYSTEM,SPD_MAX,HP_MED_W,NUM_LANES,SUR_W,ADT_YEAR,ADT_CUR,ADT_ADJ,TRK_AADT_PCT,AADT_TRUCKS,LANE_WIDTH,LEN_SEC,LN_MILES,DVMT,DTRKVMT,top10,ID,Corridor_ID,Shape_Length
1,IH0610-KG,7.951,8.004,IH0610,IH,610,12,102,19750,4,1,55,20,6,68,2019,209377,209377,4.4,9109,12,0.053,0.318,11096.981,482.777,1,1,1,0.053125
1,IH0610-KG,8.004,8.006,IH0610,IH,610,12,102,19750,4,1,55,20,6,68,2019,221024,221024,4.4,9783,12,0.002,0.012,442.048,19.566,1,2,2,0.002003
1,IH0610-KG,8.006,8.484,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,221024,221024,4.4,9783,12,0.478,3.824,105649.472,4676.274,1,3,3,0.478774
1,IH0610-KG,8.484,8.777,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,221024,221024,4.4,9783,12,0.293,2.344,64760.032,2866.419,1,4,4,0.2935
1,IH0610-KG,8.777,10,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,221024,221024,4.4,9783,12,1.223,9.784,270312.352,11964.609,1,5,5,1.22507
1,IH0610-KG,10,11.341,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,221024,221024,4.4,9783,12,1.341,10.728,296393.184,13119.003,1,6,6,1.343331
1,IH0610-KG,11.341,11.581,IH0610,IH,610,12,102,19750,4,1,55,32,8,120,2019,221024,221024,4.4,9783,13,0.24,1.92,53045.76,2347.92,1,7,7,0.240428
1,IH0610-KG,11.581,11.62,IH0610,IH,610,12,102,19750,4,1,55,32,8,98,2019,221024,221024,4.4,9783,12,0.039,0.312,8619.936,381.537,1,8,8,0.039008
1,IH0069-KG,28.63,28.693,IH0069,IH,69,12,102,19750,4,1,65,45,7,94,2019,316892,316892,3.8,12070,12,0.063,0.441,19964.196,760.41,2,9,1,0.063114
1,IH0069-KG,28.693,28.695,IH0069,IH,69,12,102,19750,4,1,65,45,7,94,2019,297342,297342,3.9,11589,12,0.002,0.014,594.684,23.178,2,10,2,0.002004
1,IH0069-KG,28.695,28.705,IH0069,IH,69,12,102,19750,4,1,60,61,10,122,2019,297342,297342,3.9,11589,12,0.01,0.1,2973.42,115.89,2,11,3,0.010016
1,IH0069-KG,28.705,29.219,IH0069,IH,69,12,102,19750,4,1,60,61,12,144,2019,297342,297342,3.9,11589,12,0.514,6.168,152833.788,5956.746,2,12,4,0.514869
1,IH0069-KG,29.219,29.795,IH0069,IH,69,12,102,19750,4,1,60,61,12,144,2019,297342,297342,3.9,11589,12,0.576,6.912,171268.992,6675.264,2,13,5,0.576948
1,IH0069-KG,29.795,29.851,IH0069,IH,69,12,102,19750,4,1,60,38,12,144,2019,297342,297342,3.9,11589,12,0.056,0.672,16651.152,648.984,2,14,6,0.056165
1,IH0069-KG,29.851,29.985,IH0069,IH,69,12,102,19750,4,1,60,38,12,144,2019,256208,256208,4.1,10578,12,0.134,1.608,34331.872,1417.452,2,15,7,0.13425
1,IH0069-KG,29.985,30.121,IH0069,IH,69,12,102,19750,4,1,60,51,10,120,2019,256208,256208,4.1,10578,11,0.136,1.36,34844.288,1438.608,2,16,8,0.136234
1,IH0069-KG,30.121,30.151,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.03,0.3,7686.24,317.34,2,17,9,0.030052
1,IH0069-KG,30.151,30.226,IH0069,IH,69,12,102,19750,4,1,60,47,10,138,2019,256208,256208,4.1,10578,11,0.075,0.75,19215.6,793.35,2,18,10,0.075129
1,IH0069-KG,30.226,30.253,IH0069,IH,69,12,102,19750,4,1,60,47,10,141,2019,256208,256208,4.1,10578,11,0.027,0.27,6917.616,285.606,2,19,11,0.027046
1,IH0069-KG,30.253,30.294,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.041,0.41,10504.528,433.698,2,20,12,0.041071
1,IH0069-KG,30.294,30.312,IH0069,IH,69,12,102,19750,4,1,60,62,10,142,2019,256208,256208,4.1,10578,11,0.018,0.18,4611.744,190.404,2,21,13,0.018024
1,IH0069-KG,30.312,30.359,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.047,0.47,12041.776,497.166,2,22,14,0.047036
1,IH0069-KG,30.359,30.381,IH0069,IH,69,12,102,19750,4,1,60,48,10,142,2019,256208,256208,4.1,10578,11,0.022,0.22,5636.576,232.716,2,23,15,0.022019
1,IH0069-KG,30.381,30.395,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.014,0.14,3586.912,148.092,2,24,16,0.014027
1,IH0069-KG,30.395,30.409,IH0069,IH,69,12,102,19750,4,1,60,47,10,141,2019,256208,256208,4.1,10578,11,0.014,0.14,3586.912,148.092,2,25,17,0.014027
1,IH0069-KG,30.409,30.481,IH0069,IH,69,12,102,19750,4,1,60,50,10,138,2019,256208,256208,4.1,10578,11,0.072,0.72,18446.976,761.616,2,26,18,0.072157
1,IH0069-KG,30.481,30.51,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.029,0.29,7430.032,306.762,2,27,19,0.029073
1,IH0069-KG,30.51,30.572,IH0069,IH,69,12,102,19750,4,1,55,51,10,120,2019,256208,256208,4.1,10578,11,0.062,0.62,15884.896,655.836,2,28,20,0.062078
1,IH0069-KG,30.572,31.557,IH0069,IH,69,12,102,19750,4,1,60,42,10,120,2019,256208,256208,4.1,10578,12,0.985,9.85,252364.88,10419.33,2,29,21,0.986732
1,IH0069-KG,31.557,32.77,IH0069,IH,69,12,102,19750,4,1,60,28,10,124,2019,256208,256208,4.1,10578,12,1.213,12.13,310780.304,12831.114,2,30,22,1.215093
1,IH0069-KG,32.77,32.84,IH0069,IH,69,12,102,19750,4,1,55,28,6,72,2019,256208,256208,4.1,10578,12,0.07,0.42,17934.56,740.46,2,31,23,0.070104
1,IH0069-KG,32.84,33.053,IH0069,IH,69,12,102,19750,4,1,60,25,8,98,2019,256208,256208,4.1,10578,12,0.213,1.704,54572.304,2253.114,2,32,24,0.213382
1,IH0069-KG,33.053,33.054,IH0069,IH,69,12,102,19750,4,1,60,25,8,98,2019,256208,256208,4.1,10578,12,0.001,0.008,256.208,10.578,2,33,25,0.001001
1,IH0069-KG,33.054,33.731,IH0069,IH,69,12,102,19750,4,1,60,25,8,98,2019,185410,185410,4.8,8840,12,0.677,5.416,125522.57,5984.68,2,34,26,0.678206
1,IH0069-KG,33.731,34.025,IH0069,IH,69,12,102,19750,4,1,60,38,8,106,2019,185410,185410,4.8,8840,12,0.294,2.352,54510.54,2598.96,2,35,27,0.294514
1,IH0069-KG,34.025,34.138,IH0069,IH,69,12,102,19750,4,1,60,38,8,106,2019,185410,185410,4.8,8840,12,0.113,0.904,20951.33,998.92,2,36,28,0.113199
1,IH0069-KG,34.138,34.144,IH0069,IH,69,12,102,19750,4,1,60,38,8,106,2019,185410,185410,4.8,8840,12,0.006,0.048,1112.46,53.04,2,37,29,0.006023
1,IH0069-KG,34.144,34.432,IH0069,IH,69,12,102,19750,4,1,60,38,8,106,2019,162327,162327,7.1,11596,12,0.288,2.304,46750.176,3339.648,3,38,1,0.288467
1,IH0069-KG,34.432,34.49,IH0069,IH,69,12,102,19750,4,1,60,70,6,72,2019,162327,162327,7.1,11596,12,0.058,0.348,9414.966,672.568,3,39,2,0.058089
1,IH0069-KG,34.49,34.577,IH0069,IH,69,12,102,19750,4,1,60,70,6,72,2019,162327,162327,7.1,11596,12,0.087,0.522,14122.449,1008.852,3,40,3,0.087182
1,IH0069-KG,34.577,34.706,IH0069,IH,69,12,102,19750,4,1,60,70,6,72,2019,162327,162327,7.1,11596,12,0.129,0.774,20940.183,1495.884,3,41,4,0.129225
1,IH0069-KG,34.706,34.988,IH0069,IH,69,12,102,19750,4,1,60,66,6,76,2019,162327,162327,7.1,11596,12,0.282,1.692,45776.214,3270.072,3,42,5,0.282471
1,IH0069-KG,34.988,34.99,IH0069,IH,69,12,102,19750,4,1,60,66,6,76,2019,161500,161500,7.2,11566,12,0.002,0.012,323,23.132,3,43,6,0.002003
1,IH0069-KG,34.99,35.052,IH0069,IH,69,12,102,19750,4,1,60,66,6,76,2019,161500,161500,7.2,11566,12,0.062,0.372,10013,717.092,3,44,7,0.062117
1,IH0069-KG,35.052,35.159,IH0069,IH,69,12,102,19750,4,1,60,26,6,104,2019,161500,161500,7.2,11566,12,0.107,0.642,17280.5,1237.562,3,45,8,0.107176
1,IH0069-KG,35.159,35.223,IH0069,IH,69,12,102,19750,4,1,60,70,6,104,2019,161500,161500,7.2,11566,12,0.064,0.384,10336,740.224,3,46,9,0.064092
1,IH0069-KG,35.223,35.257,IH0069,IH,69,12,102,19750,4,1,60,38,8,96,2019,161500,161500,7.2,11566,12,0.034,0.272,5491,393.244,3,47,10,0.034058
1,IH0069-KG,35.257,35.303,IH0069,IH,69,12,102,19750,4,1,60,38,8,96,2019,161500,161500,7.2,11566,12,0.046,0.368,7429,532.036,3,48,11,0.046107
1,IH0069-KG,35.303,35.859,IH0069,IH,69,12,102,19750,4,1,60,38,8,96,2019,161500,161500,7.2,11566,12,0.556,4.448,89794,6430.696,3,49,12,0.556941
1,IH0069-KG,35.859,36.184,IH0069,IH,69,12,102,19750,4,1,60,38,8,96,2019,161500,161500,7.2,11566,12,0.325,2.6,52487.5,3758.95,3,50,13,0.32554
1,IH0069-KG,36.184,36.302,IH0069,IH,69,12,102,19750,4,1,60,24,8,104,2019,161500,161500,7.2,11566,12,0.118,0.944,19057,1364.788,3,51,14,0.118246
1,IH0069-KG,36.302,36.313,IH0069,IH,69,12,102,19750,4,1,60,24,8,104,2019,161500,161500,7.2,11566,12,0.011,0.088,1776.5,127.226,3,52,15,0.011021
1,IH0069-KG,36.313,36.408,IH0069,IH,69,12,102,19750,4,1,60,24,8,104,2019,161500,161500,7.2,11566,12,0.095,0.76,15342.5,1098.77,3,53,16,0.095175
1,IH0069-KG,36.408,36.79,IH0069,IH,69,12,102,19750,4,1,60,24,8,104,2019,106640,106640,9,9582,12,0.382,3.056,40736.48,3660.324,3,54,17,0.382661
1,IH0069-KG,36.79,36.912,IH0069,IH,69,12,102,19750,4,1,60,24,8,104,2019,106640,106640,9,9582,12,0.122,0.976,13010.08,1169.004,3,55,18,0.12219
1,IH0069-KG,36.912,36.921,IH0069,IH,69,12,102,19750,4,1,60,24,6,104,2019,106640,106640,9,9582,12,0.009,0.054,959.76,86.238,3,56,19,0.008994
1,IH0069-KG,36.921,37.031,IH0069,IH,69,12,102,19750,4,1,55,24,6,104,2019,106640,106640,9,9582,12,0.11,0.66,11730.4,1054.02,3,57,20,0.110237
1,IH0069-KG,37.031,37.158,IH0069,IH,69,12,102,19750,4,1,60,65,8,104,2019,106640,106640,9,9582,12,0.127,1.016,13543.28,1216.914,3,58,21,0.127203
1,IH0069-KG,37.158,37.165,IH0069,IH,69,12,102,19750,4,1,60,65,8,104,2019,162215,162215,7.1,11591,12,0.007,0.056,1135.505,81.137,3,59,22,0.007007
1,IH0045-KG,40.598,40.82,IH0045,IH,45,12,102,19750,4,1,60,46,8,96,2019,183783,183783,8.4,15374,12,0.222,1.776,40799.826,3413.028,4,60,1,0.222534
1,IH0045-KG,40.82,40.977,IH0045,IH,45,12,102,19750,4,1,60,20,8,120,2019,183783,183783,8.4,15374,15,0.157,1.256,28853.931,2413.718,4,61,2,0.156794
1,IH0045-KG,40.977,41.235,IH0045,IH,45,12,102,19750,4,1,60,20,8,120,2019,183783,183783,8.4,15374,15,0.258,2.064,47416.014,3966.492,4,62,3,0.258141
1,IH0045-KG,41.235,41.309,IH0045,IH,45,12,102,19750,4,1,60,20,8,120,2019,183783,183783,8.4,15374,15,0.074,0.592,13599.942,1137.676,4,63,4,0.074139
1,IH0045-KG,41.309,41.544,IH0045,IH,45,12,102,19750,4,1,60,20,8,120,2019,183783,183783,8.4,15374,15,0.235,1.88,43189.005,3612.89,4,64,5,0.23544
1,IH0045-KG,41.544,41.951,IH0045,IH,45,12,102,19750,4,1,55,20,8,120,2019,183783,183783,8.4,15374,15,0.407,3.256,74799.681,6257.218,4,65,6,0.407776
1,IH0045-KG,41.951,42.027,IH0045,IH,45,12,102,19750,4,1,55,20,8,120,2019,183783,183783,8.4,15374,15,0.076,0.608,13967.508,1168.424,4,66,7,0.076209
1,IH0045-KG,42.027,42.159,IH0045,IH,45,12,102,19750,4,1,55,20,8,120,2019,183783,183783,8.4,15374,15,0.132,1.056,24259.356,2029.368,4,67,8,0.132362
1,IH0045-KG,42.159,42.923,IH0045,IH,45,12,102,19750,4,1,55,20,8,120,2019,183783,183783,8.4,15374,15,0.764,6.112,140410.212,11745.736,4,68,9,0.765139
1,IH0045-KG,42.923,43.279,IH0045,IH,45,12,102,19750,4,1,55,20,6,72,2019,183783,183783,8.4,15374,12,0.356,2.136,65426.748,5473.144,4,69,10,0.357202
1,IH0045-KG,43.279,44.905,IH0045,IH,45,12,102,19750,4,1,55,20,8,120,2019,183783,183783,8.4,15374,15,1.626,13.008,298831.158,24998.124,4,70,11,1.627835
1,IH0045-KG,44.905,44.992,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,183783,183783,8.4,15374,12,0.087,0.522,15989.121,1337.538,4,71,12,0.087148
1,IH0045-KG,44.992,45.614,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,204123,204123,7.9,16148,12,0.622,3.732,126964.506,10044.056,4,72,13,0.62337
1,IH0045-KG,45.614,45.821,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,187673,187673,8.3,15522,12,0.207,1.242,38848.311,3213.054,4,73,14,0.207317
1,IH0045-KG,45.821,45.926,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,187673,187673,8.3,15522,12,0.105,0.63,19705.665,1629.81,4,74,15,0.105314
1,IH0045-KG,45.926,46.022,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,187673,187673,8.3,15522,12,0.096,0.576,18016.608,1490.112,4,75,16,0.09635
1,IH0045-KG,46.022,46.104,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,187673,187673,8.3,15522,12,0.082,0.492,15389.186,1272.804,4,76,17,0.082423
1,IH0045-KG,46.104,46.212,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,230232,230232,7.4,17141,12,0.108,0.648,24865.056,1851.228,4,77,18,0.107629
1,IH0045-KG,46.212,46.62,IH0045,IH,45,12,102,19750,4,1,60,48,8,100,2019,230232,230232,7.4,17141,12,0.408,3.264,93934.656,6993.528,4,78,19,0.408868
1,IH0045-KG,46.62,47.051,IH0045,IH,45,12,102,19750,4,1,60,48,8,100,2019,230232,230232,7.4,17141,12,0.431,3.448,99229.992,7387.771,4,79,20,0.432153
1,IH0045-KG,47.051,47.867,IH0045,IH,45,12,102,19750,4,1,60,3,8,98,2019,230232,230232,7.4,17141,12,0.816,6.528,187869.312,13987.056,4,80,21,0.817331
1,IH0045-KG,47.867,47.903,IH0045,IH,45,12,102,19750,4,1,60,3,8,120,2019,230232,230232,7.4,17141,14,0.036,0.288,8288.352,617.076,4,81,22,0.036065
1,IH0045-KG,47.903,48.314,IH0045,IH,45,12,102,19750,4,1,60,3,10,134,2019,230232,230232,7.4,17141,11,0.411,4.11,94625.352,7044.951,4,82,23,0.411467
1,IH0045-KG,48.314,48.49,IH0045,IH,45,12,102,19750,4,1,60,3,8,99,2019,230232,230232,7.4,17141,11,0.176,1.408,40520.832,3016.816,4,83,24,0.176368
1,IH0010-KG,751.727,751.912,IH0010,IH,10,12,102,19750,4,1,55,40,6,72,2019,229682,229682,8.6,19863,12,0.185,1.11,42491.17,3674.655,5,84,1,0.185444
1,IH0010-KG,751.912,753.557,IH0010,IH,10,12,102,19750,4,1,55,40,6,72,2019,229682,229682,8.6,19863,12,1.645,9.87,377826.89,32674.635,5,85,2,1.64797
1,IH0010-KG,753.557,753.904,IH0010,IH,10,12,102,19750,4,1,55,40,6,72,2019,313693,313693,7.4,23271,12,0.347,2.082,108851.471,8075.037,5,86,3,0.347388
1,IH0010-KG,753.904,754.296,IH0010,IH,10,12,102,19750,4,1,55,20,7,97,2019,313693,313693,7.4,23271,12,0.392,2.744,122967.656,9122.232,5,87,4,0.392542
1,IH0010-KG,754.296,755.187,IH0010,IH,10,12,102,19750,4,1,60,20,6,86,2019,313693,313693,7.4,23271,12,0.891,5.346,279500.463,20734.461,5,88,5,0.89222
