Crash_ID,Crash_Sev_ID,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt
14199980,3,0,1,5,0,1,0
14201647,5,0,0,1,0,0,0
14202855,5,0,0,1,1,0,0
14203076,5,0,0,1,1,0,0
14206356,5,0,0,1,1,0,0
14206406,5,0,0,2,0,0,0
14207986,3,0,1,1,0,1,0
14208030,5,0,0,2,0,0,0
14208162,5,0,0,4,0,0,0
14208272,5,0,0,1,2,0,0
14209861,5,0,0,4,0,0,0
14209871,5,0,0,4,0,0,0
14210043,3,0,1,4,0,1,0
14210380,5,0,0,2,0,0,0
14211915,5,0,0,2,0,0,0
14212123,5,0,0,2,0,0,0
14212737,3,0,1,0,0,1,0
14212761,5,0,0,2,0,0,0
14215687,5,0,0,1,0,0,0
14216057,2,1,0,0,0,1,0
14219333,5,0,0,1,0,0,0
14222942,5,0,0,1,2,0,0
14223240,2,1,0,1,0,1,0
14223794,5,0,0,1,0,0,0
14223798,5,0,0,1,0,0,0
14225140,3,0,1,2,0,1,0
14225496,5,0,0,2,2,0,0
14225557,5,0,0,3,0,0,0
14226553,5,0,0,2,0,0,0
14226822,5,0,0,1,0,0,0
14227494,5,0,0,3,0,0,0
14227495,5,0,0,4,0,0,0
14227718,3,0,1,3,0,1,0
14227972,3,0,1,1,0,1,0
14228054,5,0,0,3,0,0,0
14228545,5,0,0,6,0,0,0
14228556,0,0,0,0,1,0,0
14228848,5,0,0,3,0,0,0
14229646,2,1,0,1,0,1,0
14230008,0,0,0,0,1,0,0
14231431,3,0,1,1,1,1,0
14231752,5,0,0,5,0,0,0
14231786,5,0,0,5,0,0,0
14233332,5,0,0,3,0,0,0
14233588,3,0,1,1,0,1,0
14233853,5,0,0,6,0,0,0
14233854,5,0,0,4,0,0,0
14234094,2,1,0,4,0,1,0
14235874,3,0,5,2,0,5,0
14238221,5,0,0,2,0,0,0
14238246,5,0,0,1,1,0,0
14238338,3,0,1,3,0,1,0
14238834,5,0,0,1,1,0,0
14239047,3,0,1,1,0,1,0
14241126,1,0,0,0,0,1,0
14241212,5,0,0,1,1,0,0
14241247,5,0,0,1,1,0,0
14241309,5,0,0,2,0,0,0
14241380,5,0,0,4,0,0,0
14241432,5,0,0,1,0,0,0
14241448,3,0,1,1,0,1,0
14241629,5,0,0,4,0,0,0
14243522,3,0,1,3,0,1,0
14243860,5,0,0,2,0,0,0
14243878,5,0,0,2,0,0,0
14245523,5,0,0,2,0,0,0
14246911,5,0,0,4,0,0,0
14246943,3,0,1,1,0,1,0
14247119,3,0,1,3,0,1,0
14247545,5,0,0,2,0,0,0
14248459,5,0,0,1,1,0,0
14248462,5,0,0,1,1,0,0
14248488,5,0,0,1,0,0,0
14248506,5,0,0,2,0,0,0
14248626,5,0,0,2,0,0,0
14248639,1,0,1,1,0,3,0
14249271,5,0,0,3,0,0,0
14249601,3,0,1,1,0,1,0
14249695,5,0,0,2,0,0,0
14250258,5,0,0,1,1,0,0
14250259,3,0,2,5,0,2,0
14250572,3,0,1,1,0,1,0
14251878,5,0,0,1,0,0,0
14252436,5,0,0,3,0,0,0
14252506,5,0,0,2,1,0,0
14252533,1,0,1,7,0,2,0
14254655,3,0,1,0,0,1,0
14256618,3,0,1,1,0,1,0
14256660,3,0,2,2,0,2,0
14258529,5,0,0,1,0,0,0
14259656,3,0,1,3,0,1,0
14259979,3,0,1,1,0,1,0
14260116,5,0,0,5,0,0,0
14260363,5,0,0,2,0,0,0
14261097,3,0,3,0,0,3,0
14261326,3,0,1,1,0,1,0
14263627,3,0,3,3,0,3,0
14264341,5,0,0,3,1,0,0
14265511,3,0,2,2,0,2,0
14265512,3,0,2,1,0,2,0
14265513,5,0,0,2,0,0,0
14265925,3,0,1,3,0,1,0
14266437,5,0,0,2,0,0,0
14266440,5,0,0,2,0,0,0
14266986,5,0,0,4,0,0,0
