ID,RIA_RTE_ID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,DI,CO,CITY,RU,F_SYSTEM,SPD_MAX,HP_MED_W,NUM_LANES,SUR_W,ADT_YEAR,ADT_CUR,ADT_ADJ,TRK_AADT_PCT,AADT_TRUCKS,LANE_WIDTH,LEN_SEC,LN_MILES,DVMT,DTRKVMT,top10,Corridor_ID,Shape_Length
1,IH0610-KG,7.9510000000000005,8.004,IH0610,IH,610,12,102,19750,4,1,55,20,6,68,2019,209377,209377,4.4,9109,12,0.053,0.318,11096.981000000002,482.777,1,1,0.053125
2,IH0610-KG,8.004,8.006,IH0610,IH,610,12,102,19750,4,1,55,20,6,68,2019,221024,221024,4.4,9783,12,0.002,0.012,442.048,19.566,1,2,0.002003
3,IH0610-KG,8.006,8.484,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,221024,221024,4.4,9783,12,0.478,3.824,105649.472,4676.274,1,3,0.478774
4,IH0610-KG,8.484,8.777000000000001,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,221024,221024,4.4,9783,12,0.293,2.344,64760.032,2866.4190000000003,1,4,0.2935
5,IH0610-KG,8.777000000000001,10.0,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,221024,221024,4.4,9783,12,1.2229999999999999,9.783999999999999,270312.352,11964.608999999999,1,5,1.22507
6,IH0610-KG,10.0,11.341,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,221024,221024,4.4,9783,12,1.341,10.728,296393.184,13119.003,1,6,1.343331
7,IH0610-KG,11.341,11.581,IH0610,IH,610,12,102,19750,4,1,55,32,8,120,2019,221024,221024,4.4,9783,13,0.24,1.92,53045.76,2347.92,1,7,0.24042800000000003
8,IH0610-KG,11.581,11.62,IH0610,IH,610,12,102,19750,4,1,55,32,8,98,2019,221024,221024,4.4,9783,12,0.039,0.312,8619.936,381.537,1,8,0.039008
9,IH0069-KG,28.63,28.693,IH0069,IH,69,12,102,19750,4,1,65,45,7,94,2019,316892,316892,3.8,12070,12,0.063,0.441,19964.196,760.41,2,1,0.063114
10,IH0069-KG,28.693,28.695,IH0069,IH,69,12,102,19750,4,1,65,45,7,94,2019,297342,297342,3.9,11589,12,0.002,0.013999999999999999,594.684,23.178,2,2,0.0020039999999999997
11,IH0069-KG,28.695,28.705,IH0069,IH,69,12,102,19750,4,1,60,61,10,122,2019,297342,297342,3.9,11589,12,0.01,0.1,2973.42,115.89,2,3,0.010015999999999999
12,IH0069-KG,28.705,29.219,IH0069,IH,69,12,102,19750,4,1,60,61,12,144,2019,297342,297342,3.9,11589,12,0.514,6.167999999999999,152833.788,5956.746,2,4,0.5148689999999999
13,IH0069-KG,29.219,29.795,IH0069,IH,69,12,102,19750,4,1,60,61,12,144,2019,297342,297342,3.9,11589,12,0.5760000000000001,6.912000000000001,171268.992,6675.264,2,5,0.5769479999999999
14,IH0069-KG,29.795,29.851,IH0069,IH,69,12,102,19750,4,1,60,38,12,144,2019,297342,297342,3.9,11589,12,0.055999999999999994,0.672,16651.152,648.984,2,6,0.056165
15,IH0069-KG,29.851,29.985,IH0069,IH,69,12,102,19750,4,1,60,38,12,144,2019,256208,256208,4.1,10578,12,0.134,1.608,34331.872,1417.4520000000002,2,7,0.13425
16,IH0069-KG,29.985,30.121,IH0069,IH,69,12,102,19750,4,1,60,51,10,120,2019,256208,256208,4.1,10578,11,0.136,1.36,34844.288,1438.608,2,8,0.136234
17,IH0069-KG,30.121,30.151,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.03,0.3,7686.24,317.34,2,9,0.030052
18,IH0069-KG,30.151,30.226,IH0069,IH,69,12,102,19750,4,1,60,47,10,138,2019,256208,256208,4.1,10578,11,0.075,0.75,19215.6,793.35,2,10,0.075129
19,IH0069-KG,30.226,30.253,IH0069,IH,69,12,102,19750,4,1,60,47,10,141,2019,256208,256208,4.1,10578,11,0.027000000000000003,0.27,6917.616,285.606,2,11,0.027045999999999997
20,IH0069-KG,30.253,30.294,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.040999999999999995,0.41,10504.528,433.69800000000004,2,12,0.041070999999999996
21,IH0069-KG,30.294,30.311999999999998,IH0069,IH,69,12,102,19750,4,1,60,62,10,142,2019,256208,256208,4.1,10578,11,0.018000000000000002,0.18,4611.744000000001,190.40400000000002,2,13,0.018024000000000002
22,IH0069-KG,30.311999999999998,30.359,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.047,0.47,12041.776000000002,497.166,2,14,0.047036
23,IH0069-KG,30.359,30.381,IH0069,IH,69,12,102,19750,4,1,60,48,10,142,2019,256208,256208,4.1,10578,11,0.022000000000000002,0.22,5636.576,232.71599999999998,2,15,0.022019
24,IH0069-KG,30.381,30.395,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.013999999999999999,0.14,3586.9120000000003,148.092,2,16,0.014027000000000001
25,IH0069-KG,30.395,30.409000000000002,IH0069,IH,69,12,102,19750,4,1,60,47,10,141,2019,256208,256208,4.1,10578,11,0.013999999999999999,0.14,3586.9120000000003,148.092,2,17,0.014027000000000001
26,IH0069-KG,30.409000000000002,30.480999999999998,IH0069,IH,69,12,102,19750,4,1,60,50,10,138,2019,256208,256208,4.1,10578,11,0.07200000000000001,0.72,18446.976000000002,761.6160000000001,2,18,0.072157
27,IH0069-KG,30.480999999999998,30.51,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.028999999999999998,0.29,7430.031999999999,306.762,2,19,0.029073
28,IH0069-KG,30.51,30.572,IH0069,IH,69,12,102,19750,4,1,55,51,10,120,2019,256208,256208,4.1,10578,11,0.062,0.62,15884.896,655.836,2,20,0.062077999999999994
29,IH0069-KG,30.572,31.557,IH0069,IH,69,12,102,19750,4,1,60,42,10,120,2019,256208,256208,4.1,10578,12,0.985,9.85,252364.88,10419.33,2,21,0.9867319999999999
30,IH0069-KG,31.557,32.77,IH0069,IH,69,12,102,19750,4,1,60,28,10,124,2019,256208,256208,4.1,10578,12,1.213,12.13,310780.304,12831.114,2,22,1.215093
31,IH0069-KG,32.77,32.84,IH0069,IH,69,12,102,19750,4,1,55,28,6,72,2019,256208,256208,4.1,10578,12,0.07,0.42,17934.56,740.46,2,23,0.070104
32,IH0069-KG,32.84,33.053000000000004,IH0069,IH,69,12,102,19750,4,1,60,25,8,98,2019,256208,256208,4.1,10578,12,0.213,1.704,54572.304000000004,2253.114,2,24,0.21338200000000002
33,IH0069-KG,33.053000000000004,33.054,IH0069,IH,69,12,102,19750,4,1,60,25,8,98,2019,256208,256208,4.1,10578,12,0.001,0.008,256.20799999999997,10.578,2,25,0.001001
34,IH0069-KG,33.054,33.731,IH0069,IH,69,12,102,19750,4,1,60,25,8,98,2019,185410,185410,4.8,8840,12,0.677,5.416,125522.57,5984.68,2,26,0.6782060000000001
35,IH0069-KG,33.731,34.025,IH0069,IH,69,12,102,19750,4,1,60,38,8,106,2019,185410,185410,4.8,8840,12,0.294,2.352,54510.54,2598.96,2,27,0.294514
36,IH0069-KG,34.025,34.138000000000005,IH0069,IH,69,12,102,19750,4,1,60,38,8,106,2019,185410,185410,4.8,8840,12,0.113,0.904,20951.33,998.92,2,28,0.113199
