Crash_ID,Crash_Speed_Limit,Wthr_Cond_ID,Light_Cond_ID,Surf_Cond_ID,Traffic_Cntl_ID,Harm_Evnt_ID,Intrsct_Relat_ID,FHE_Collsn_ID,Road_Relat_ID
14199980,60,2,1,2,20,2,4.0,21,1
14201647,60,2,1,2,1,7,4.0,1,4
14202855,60,12,4,2,20,2,4.0,20,1
14203076,60,2,4,2,20,2,4.0,21,1
14206356,60,0,0,0,20,2,4.0,21,1
14206406,60,11,1,1,20,2,4.0,20,1
14207986,60,12,1,1,20,2,4.0,20,1
14208030,45,11,1,1,16,2,4.0,21,1
14208162,60,11,1,1,1,2,4.0,21,1
14208272,60,11,1,1,1,2,4.0,21,1
14209861,60,11,4,1,20,2,4.0,21,1
14209871,45,11,1,1,20,2,4.0,21,1
14210043,65,11,4,2,20,2,4.0,20,1
14210380,30,11,5,1,5,2,1.0,25,1
14211915,60,11,4,1,20,2,4.0,20,1
14212123,60,11,6,1,1,2,4.0,20,1
14212737,60,2,1,2,20,2,4.0,22,1
14212761,35,12,1,1,20,2,2.0,21,1
14215687,45,11,3,1,20,7,4.0,1,2
14216057,60,2,1,2,20,7,4.0,1,2
14219333,60,2,4,2,20,7,4.0,1,4
14222942,65,12,1,2,1,2,4.0,20,1
14223240,65,12,4,1,20,2,4.0,22,1
14223794,60,2,1,2,20,7,4.0,1,2
14223798,60,2,1,2,20,7,4.0,1,2
14225140,60,12,1,1,1,2,4.0,20,1
14225496,60,12,4,2,20,2,4.0,21,1
14225557,60,11,1,1,20,2,4.0,20,1
14226553,65,12,1,2,1,2,2.0,20,1
14226822,60,11,1,1,20,10,4.0,1,1
14227494,35,11,4,1,20,2,2.0,20,1
14227495,60,11,1,1,20,2,4.0,20,1
14227718,65,12,4,1,20,2,4.0,20,1
14227972,60,11,1,1,1,2,4.0,21,1
14228054,60,12,1,1,20,2,4.0,21,1
14228545,60,11,4,1,20,2,4.0,22,1
14228556,60,11,4,1,20,7,4.0,1,2
14228848,45,11,1,1,5,2,1.0,34,1
14229646,60,11,1,1,20,2,4.0,20,1
14230008,60,11,6,1,20,7,4.0,1,2
14231431,60,11,4,1,20,2,4.0,22,1
14231752,60,11,1,1,20,2,4.0,20,1
14231786,60,11,3,1,20,2,4.0,20,1
14233332,60,11,1,1,20,2,4.0,21,1
14233588,65,11,4,1,20,2,4.0,20,1
14233853,60,11,1,1,1,2,4.0,20,1
14233854,60,11,4,1,1,2,4.0,20,1
14234094,60,11,1,1,20,2,4.0,20,1
14235874,60,11,1,1,1,2,4.0,20,1
14238221,60,11,4,1,20,2,4.0,20,1
14238246,30,2,1,2,20,2,4.0,21,1
14238338,40,2,1,2,5,2,1.0,13,1
14238834,35,2,1,2,5,2,2.0,20,1
14239047,60,11,1,1,20,2,4.0,20,1
14241126,60,11,4,1,20,10,4.0,1,1
14241212,65,2,1,2,20,2,2.0,21,1
14241247,65,11,1,1,1,2,4.0,20,1
14241309,60,11,1,1,20,2,4.0,21,1
14241380,55,11,1,1,20,2,2.0,13,1
14241432,60,11,4,1,20,4,4.0,1,3
14241448,60,11,4,1,20,2,4.0,20,1
14241629,60,12,1,1,20,2,4.0,20,1
14243522,65,11,4,1,20,2,4.0,20,1
14243860,35,11,1,1,20,2,2.0,20,1
14243878,65,11,1,1,20,2,4.0,20,1
14245523,60,11,1,1,20,2,4.0,20,1
14246911,60,11,1,2,20,2,4.0,20,1
14246943,60,11,1,1,20,2,4.0,21,1
14247119,60,11,1,1,20,2,4.0,20,1
14247545,65,11,1,1,1,2,2.0,22,1
14248459,45,11,1,1,5,2,2.0,22,1
14248462,60,0,1,0,1,2,4.0,20,1
14248488,60,11,4,1,20,8,4.0,1,1
14248506,50,11,1,1,20,2,4.0,22,1
14248626,60,11,3,1,20,2,4.0,21,1
14248639,45,11,1,1,20,2,2.0,22,1
14249271,55,11,1,1,20,2,4.0,21,1
14249601,60,11,4,1,20,2,4.0,20,1
14249695,60,11,4,1,20,2,4.0,21,1
14250258,60,11,4,1,20,2,2.0,20,1
14250259,60,11,1,1,20,2,2.0,20,1
14250572,65,11,1,1,20,2,4.0,20,1
14251878,40,11,4,1,1,7,4.0,1,2
14252436,60,11,3,1,1,2,4.0,20,1
14252506,60,11,4,1,20,7,4.0,1,2
14252533,60,12,4,2,20,2,4.0,22,1
14254655,60,11,1,1,1,7,4.0,1,4
