Crash_ID,Cmv_Involv_Fl
14199980,N
14201647,N
14202855,N
14203076,N
14206356,N
14206406,N
14207986,N
14208030,N
14208162,Y
14208272,N
14209861,N
14209871,N
14210043,N
14210380,N
14211915,N
14212123,N
14212737,N
14212761,N
14215687,N
14216057,N
14219333,N
14222942,N
14223240,N
14223794,N
14223798,N
14225140,N
14225496,N
14225557,N
14226553,N
14226822,N
14227494,N
14227495,N
14227718,N
14227972,N
14228054,N
14228545,N
14228556,N
14228848,N
14229646,N
14230008,N
14231431,N
14231752,N
14231786,N
14233332,N
14233588,N
14233853,N
14233854,N
14234094,N
14235874,N
14238221,Y
14238246,N
14238338,N
14238834,N
14239047,N
14241126,N
14241212,N
14241247,N
14241309,N
14241380,N
14241432,N
14241448,N
14241629,N
14243522,N
14243860,N
14243878,N
14245523,N
14246911,N
14246943,Y
14247119,N
14247545,N
14248459,N
14248462,N
14248488,N
14248506,N
14248626,N
14248639,N
14249271,N
14249601,N
14249695,N
14250258,N
14250259,N
14250572,N
14251878,N
14252436,N
14252506,N
14252533,N
14254655,N
14256618,N
14256660,N
14258529,N
14259656,N
14259979,N
14260116,N
14260363,N
14261097,N
14261326,N
14263627,N
14264341,N
14265511,N
14265512,N
14265513,N
14265925,N
14266437,N
14266440,N
14266986,N
14267181,N
14267182,N
14267990,N
14268851,N
14270942,N
14270989,N
14271167,N
14271487,N
14272221,Y
14272726,N
14273514,N
14273748,N
14273985,N
14274050,N
14275094,N
14275392,N
14275440,N
14275443,N
14275452,N
14277564,N
14278312,N
14278462,N
14278500,N
14278546,N
14278798,N
14280688,N
14281684,N
14282759,N
14283264,N
14283588,N
14283666,N
14284910,N
14286128,N
14287001,N
14287299,N
14290693,N
14290776,N
14290831,N
14291059,N
14292776,N
14293455,N
14293674,N
14293695,N
14295360,N
14296916,N
14296951,N
14297184,N
14297509,N
14298530,N
14299021,Y
14299022,N
14299776,N
14300072,N
14300182,N
14300624,N
14300823,N
14302599,N
14303248,N
14303344,N
14306905,N
14306918,N
14306919,N
14307245,N
14307719,N
14307738,N
14307747,N
14307944,N
14308286,N
14308513,N
14308949,N
14309625,N
14309645,N
14309816,Y
14312279,N
14313234,N
14313302,N
14313638,N
14313672,N
14313915,N
14314051,N
14314127,N
14316097,N
14319192,N
14319287,N
14321131,N
14321634,N
14321787,N
14322890,N
14323636,N
14323729,N
14323903,N
14323997,N
14324079,N
14324101,N
14325020,N
14325036,N
14325966,N
14326037,Y
14327418,N
14327716,N
14327986,N
14329206,N
14329467,N
14329550,N
14330288,N
14331675,N
14332130,N
14332216,N
14334049,N
14334753,N
14335783,N
14336244,N
14336483,N
14336585,N
14336708,N
14337004,N
14337053,N
14337209,N
14337267,N
14338884,N
14339772,N
14340815,N
14340817,N
14341207,N
14341220,N
14343817,N
14345521,N
14345777,N
14347402,N
14347636,N
14347770,N
14347776,N
14348481,N
14348484,N
14348570,N
14350166,N
14350244,N
14350294,N
14350409,N
14350941,N
14351528,N
14352010,Y
14352138,N
14353443,N
14353840,N
14353871,N
14353931,N
14355265,N
14356043,N
14356581,N
14356719,N
14358461,N
14360213,N
14360214,N
14360706,N
14361013,N
14361029,N
14361232,N
14361266,N
14361267,N
14361356,N
14361476,N
14362030,N
14364335,N
14364351,N
14366463,N
14366867,N
14367778,N
14367839,Y
14369978,N
14370428,N
14370466,N
14370808,N
14371598,N
14371619,N
14372245,N
14373505,N
14373579,N
14374550,N
14374551,N
14376592,N
14376606,N
14376877,N
14377083,N
14378888,N
14378942,N
14379829,N
14380950,N
14381248,N
14381665,N
14381675,N
14383928,N
14383948,N
14383960,N
14384010,Y
14385871,N
14385917,N
14385919,N
14386055,N
14386764,N
14386766,N
14389643,N
14392282,N
14392564,N
14392791,N
14393667,N
14393672,N
14393673,N
14394231,N
14394488,N
14394877,Y
14394882,N
14396535,N
14397031,N
14399457,N
14399475,N
14399699,N
14399702,N
14399712,N
14399805,N
14400052,N
14400054,N
14400168,N
14400207,N
14400338,N
14400763,N
14400809,N
14402532,N
14403436,N
14403724,N
14403737,N
14404888,N
14405786,N
14406722,N
14408535,Y
14409418,N
14410725,N
14410853,N
14411265,N
14411266,N
14411405,N
14412616,N
14414962,N
14414963,N
14414965,N
14415036,N
14415187,N
14415557,Y
14416170,N
14418620,N
14418823,N
14421240,N
14421877,N
14423228,N
14423272,N
14423597,N
14423784,N
14423853,N
14423856,N
14424098,N
14424422,N
14424834,N
14425367,N
14425368,N
14427103,N
14428758,N
14428769,N
14429005,N
14429020,N
14429054,N
14429510,N
14429513,N
14431484,N
14431542,N
14431630,N
14431851,N
14431872,N
14431953,N
14432228,N
14432570,N
14433964,N
14434235,N
14434642,N
14436554,N
14436557,N
14436646,N
14436820,N
14437022,N
14437039,N
14437062,N
14437439,N
14437443,N
14439337,N
14439897,N
14440142,N
14442136,N
14442187,N
14442319,N
14442364,N
14446581,N
14446711,N
14446762,N
14447640,N
14447685,N
14449096,N
14449105,N
14449458,N
14449609,N
14449639,N
14449982,N
14450810,N
14450866,Y
14452337,N
14452365,N
14453337,N
14453451,N
14455261,N
14455312,Y
14455818,N
14456053,N
14459711,N
14459712,N
14460256,N
14460479,N
14461060,N
14461063,N
14463513,N
14464594,N
14465062,N
14465423,N
14465777,N
14465778,N
14465895,N
14465899,N
14469728,N
14470804,N
14471795,N
14471804,N
14471901,N
14471920,N
14472202,N
14472705,N
14472841,N
14473053,N
14473249,N
14475177,N
14475336,N
14477131,N
14477226,N
14479256,Y
14479637,N
14481652,N
14482317,N
14482363,N
14484482,N
14484938,N
14485181,N
14485627,N
14485930,N
14485975,N
14487509,N
14487665,N
14489479,N
14489985,N
14491534,N
14491987,N
14492834,N
14492842,N
14492843,N
14492876,N
14494378,N
14494962,N
14495825,N
14496125,N
14496348,N
14496578,N
14496629,N
14496683,N
14496943,N
14499800,N
14501041,N
14501088,N
14501237,N
14501441,N
14501717,N
14502711,N
14503011,N
14503012,N
14503564,N
14505334,N
14505416,N
14505469,N
14506964,N
14507669,N
14507839,N
14508058,N
14508171,N
14509978,N
14512137,Y
14513269,N
14513332,Y
14513515,N
14513606,N
14513817,N
14514274,N
14516241,N
14516327,N
14516928,N
14517555,N
14518094,N
14518356,N
14518487,N
14518563,Y
14520367,N
14520743,N
14522637,N
14522767,N
14523008,N
14523234,N
14525112,N
14526480,Y
14526525,N
14527061,N
14528742,N
14529078,N
14529220,N
14529223,N
14529237,N
14529241,N
14529285,N
14531632,N
14531658,N
14531663,N
14532142,N
14533622,N
14533817,N
14533924,N
14535820,N
14535835,N
14537251,N
14537539,N
14537575,N
14537940,N
14537978,N
14538755,N
14539240,N
14539574,N
14539815,N
14539989,N
14540188,N
14540285,N
14540400,N
14540646,N
14541086,N
14541121,N
14541445,N
14541675,N
14542484,N
14542852,Y
14542896,N
14543179,N
14545972,N
14546495,N
14549032,N
14550944,N
14550988,N
14551257,N
14552715,N
14552961,N
14553344,N
14553574,N
14553576,N
14553580,N
14553812,N
14554092,N
14554146,N
14555782,N
14555950,N
14556600,N
14556720,N
14556721,N
14556736,N
14556778,N
14559579,N
14560682,Y
14561792,N
14562406,N
14562423,N
14562443,N
14563218,N
14563794,N
14563795,N
14564039,N
14564186,N
14564471,N
14564805,N
14565219,N
14567681,N
14567936,N
14568464,N
14569871,N
14570156,N
