OBJECTID *,REC,RIA_RTE_ID,RTE_GRID,GID,FRM_DFO,TO_DFO,C_SEC,CON,SEC,BMP,EMP,RI_MPT_DATE,HWY,HSYS,HNUM,HSUF,RDBD_ID,FRM_NBR,FRM_SUF,FRM_NUM,FRM_DISP,TO_NBR,TO_SUF,TO_NUM,TO_DISP,FRM_MKR_DATE,TO_MKR_DATE,DIR_TRAV,STE_NAM,DI,CO,CITY,MPA,UAN,UAN_HPMS,RU,MSA_CNTY,MAINT_DIS,MNT_SEC,PBLC_LAND,ADMIN,RDWAY_MAINT_AGCY,F_SYSTEM,RU_F_SYSTEM,SEC_NHS,SEC_NHS_APRV_DT,SEC_STR,SEC_TRUNK,SEC_TRK,SEC_HAZ,SEC_EVAC,SEC_NFH,SEC_STM,SEC_TTT,SEC_PARK,SEC_BIC,SEC_ADP,SEC_FED_AID,MSA_CLS,TOP100ID,TOP_100_BEGIN_TERM,TOP_100_END_TERM,FRGHT_NTWRK,HWY_STAT,HWY_STAT_DATE,DOTT,DCTT,CLSR_RESN,HWY_NOTE,SPD_MAX,SPD_MIN,ALT_SPD_LMT,ALT_SPD_LMT_TYPE,SCHOOL_ZN,LOAD_AXLE,LOAD_GROSS,LOAD_TAND,TOLL_NM,TOLL_HPMS_ID,TOLL_FACILITY_TYPE,TOLL_LANE_TYPE,TOLL_CHRG_TYPE,TOLL_LANES,DBTP,PEAK_DRCT_TOLL,HWY_DES1,ACES_CTRL,BRDG_STRUC_NBR,CAUSEWAY,TUNNEL,MULT_MOD_FCLTY,MED_TYPE,MED_WID,HP_MED_W,NUM_LANES,CLMB_PS_LANE,ACCEL_DECEL_LANE,HOV_LANES,HOV_TYP,ROW_MIN,ROW_W_USL,RB_WID,SUR_W,S_TYPE_I,S_WID_I,S_USE_I,S_TYPE_O,S_WID_O,S_USE_O,CURB_L,CURB_R,BASE_TP,SRF_TYPE,SURF_TREAT_CODE,SURF_TREAT_THICK,SURF_TREAT_YEAR,TRF_STA_ID,ADT_YEAR,ADT_CUR,ADT_ADJ,K_FAC,D_FAC,TRK_AADT_PCT,PCT_SADT,PCT_CADT,AADT_TRUCKS,AADT_SINGLE_UNIT,AADT_COMBINATION,TRK_DHV_PCT,PCT_SDHV,PCT_CDHV,PCT_PK_SUT,PCT_PK_CUT,FLEX_ESAL,RIGID_ESAL,ATH_100,ATH_PCT,MOTORCYCLES,ADT_HIST_YR,HY_1,HY_2,HY_3,HY_4,HY_5,HY_6,HY_7,HY_8,HY_9,DESGN_YR,AADT_DESGN,INCRS_FCTR_PCT,INCRS_FCTR_MS,DHV,TRUCK_HY_1,TRUCK_HY_2,TRUCK_HY_3,TRUCK_HY_4,TRUCK_HY_5,TRUCK_HY_6,TRUCK_HY_7,TRUCK_HY_8,TRUCK_HY_9,HPMSID,HP_VOL_GRP,B_TERM,E_TERM,PHY_RDBD,PEAK_LANE,CNTR_PEAK_LANE,RT_TURN_LANE,LT_TURN_LANE,TRFC_SGNL,PCT_GREEN_TM,NBR_SGNL,NBR_STOP_SIGN,ATGRD_OTHR,LANE_WIDTH,PEAK_PRKG,WIDE_OBST,WIDE_PTNTL,CURV_CLASS_A,CURV_CLASS_B,CURV_CLASS_C,CURV_CLASS_D,CURV_CLASS_E,CURV_CLASS_F,VERT_GRADE_CLASS_A,VERT_GRADE_CLASS_B,VERT_GRADE_CLASS_C,VERT_GRADE_CLASS_D,VERT_GRADE_CLASS_E,VERT_GRADE_CLASS_F,TRRN,PPSD,PSR,PSR_DT,RUTTING,FAULT,CRACK_PCT,CRACK_LNGTH,YR_LAST_IMPRV,YR_LAST_CNSTR,LAST_OVRLY_THCK,PVMT_THICK_RIGID,PVMT_THICK_FLEX,BASE_THCK,CLMT_ZN,SOIL,LEN_SEC,LN_MILES,DVMT,DTRKVMT,Shape_Length
34282,1,FM0685-KG,175791,3209,7.856,7.894,0757-02,757,2,2.257,2.295,201908,FM0685,FM,685, ,KG,430, ,430,0.837,430, ,430,0.875,20150512,20150512,0, ,14,227,32580,90,90,4384,4,1,14,10,0,1,1,4,U4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,3000084, , ,0,6,20060302,20060302,0,0, ,55,0,0,0,0,0,58420,0, , , ,0,0,0,0,0,2,3, , , ,0,0,0,1,4,0,0,0,0,100,100,50,48,3,1,5,3,1,5,0,0,14,4,1,0,0,227H10,2019,29734,29734,7.8,58,4.3,1.9,2.4,1288,568,720,4.8,3.1,1.7,0.472,0.254,4444,6004,33,40,57,2018,29334,26538,28012,24253,24477,24713,21000,19800,21000,2039,35681,1.2,5947,2783,0,0,0,0,0,0,0,0,0, ,6, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.152,1129.892,48.944,0.000574
35898,1,FM0685-KG,175791,3209,5.858,6.348,0757-02,757,2,0.259,0.749,201908,FM0685,FM,685, ,KG,424, ,424,4.054,424, ,424,4.544,20200403,20200403,0, ,14,227,32580,90,90,4384,4,1,14,10,0,1,1,4,U4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,3000084, , ,0,6,20061108,20061108,0,0, ,60,0,0,0,0,0,58420,0, , , ,0,0,0,0,0,3,3, , , ,0,3,14,18,4,0,0,0,0,100,100,74,66,3,4,5,3,4,5,1,1,14,4,1,0,0,227H10,2019,29734,29734,7.8,58,4.3,1.9,2.4,1288,568,720,4.8,3.1,1.7,0.472,0.254,4444,6004,33,40,57,2018,29334,26538,28012,24253,24477,24713,21000,19800,21000,2039,35681,1.2,5947,2783,0,0,0,0,0,0,0,0,0, ,6, , ,KG,0,0,0,0,0,0,0,0,0,13,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,1.96,14569.66,631.12,0.007408
36521,1,FM0685-KG,175791,3209,7.894,7.958,0757-02,757,2,2.295,2.359,201908,FM0685,FM,685, ,KG,430, ,430,0.875,430, ,430,0.939,20150512,20150512,0, ,14,227,32580,90,90,4384,4,1,14,10,0,1,1,4,U4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,3000084, , ,0,6,20060302,20060302,0,0, ,55,0,0,0,0,0,0,0, , , ,0,0,0,0,0,2,3, , , ,0,0,0,1,4,0,0,0,0,100,100,50,48,3,1,5,3,1,5,0,0,14,4,1,0,0,227H10,2019,29734,29734,7.8,58,4.3,1.9,2.4,1288,568,720,4.8,3.1,1.7,0.472,0.254,4444,6004,33,40,57,2018,29334,26538,28012,24253,24477,24713,21000,19800,21000,2039,35681,1.2,5947,2783,0,0,0,0,0,0,0,0,0, ,6, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0.256,1902.976,82.432,0.000967
37557,1,FM0685-KG,175791,3209,5.599,5.858,0757-02,757,2,0,0.259,201908,FM0685,FM,685, ,KG,424, ,424,3.795,424, ,424,4.054,20200403,20200403,0, ,14,227,32580,90,90,4384,4,1,14,10,0,1,1,4,U4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,3000084, , ,0,6,20060302,20060302,0,0, ,55,0,0,0,0,0,58420,0, , , ,0,0,0,0,0,3,3, , , ,0,3,14,15,4,0,0,0,0,100,100,50,48,3,1,5,3,1,5,0,0,14,4,1,0,0,227H10,2019,29734,29734,7.8,58,4.3,1.9,2.4,1288,568,720,4.8,3.1,1.7,0.472,0.254,4444,6004,33,40,57,2018,29334,26538,28012,24253,24477,24713,21000,19800,21000,2039,35681,1.2,5947,2783,0,0,0,0,0,0,0,0,0, ,6, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,1.036,7701.106,333.592,0.004202
37911,1,FM0685-KG,175791,3209,6.367,7.856,0757-02,757,2,0.768,2.257,201908,FM0685,FM,685, ,KG,424, ,424,4.563,430, ,430,0.837,20200403,20150512,0, ,14,227,32580,90,90,4384,4,1,14,10,0,1,1,4,U4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,3000084, , ,0,6,20061108,20061108,0,0, ,60,0,0,0,0,0,58420,0, , , ,0,0,0,0,0,3,3, , , ,0,3,14,18,4,0,0,0,0,100,100,74,66,3,4,5,3,4,5,1,1,14,4,1,0,0,227H10,2019,29734,29734,7.8,58,4.3,1.9,2.4,1288,568,720,4.8,3.1,1.7,0.472,0.254,4444,6004,33,40,57,2018,29334,26538,28012,24253,24477,24713,21000,19800,21000,2039,35681,1.2,5947,2783,0,0,0,0,0,0,0,0,0, ,6, , ,KG,0,0,0,0,0,0,0,0,0,13,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.489,5.956,44273.926,1917.832,0.022442
38080,1,FM0685-KG,175791,3209,6.348,6.367,0757-02,757,2,0.749,0.768,201908,FM0685,FM,685, ,KG,424, ,424,4.544,424, ,424,4.563,20200403,20200403,0, ,14,227,32580,90,90,4384,4,1,14,10,0,1,1,4,U4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,3000084, , ,0,6,20061108,20061108,0,0, ,60,0,0,0,0,0,58420,0, , , ,0,0,0,0,0,3,3,1.42E+14, , ,0,3,14,18,4,0,0,0,0,100,100,74,66,3,4,5,3,4,5,1,1,14,4,1,0,0,227H10,2019,29734,29734,7.8,58,4.3,1.9,2.4,1288,568,720,4.8,3.1,1.7,0.472,0.254,4444,6004,33,40,57,2018,29334,26538,28012,24253,24477,24713,21000,19800,21000,2039,35681,1.2,5947,2783,0,0,0,0,0,0,0,0,0, ,6, , ,KG,0,0,0,0,0,0,0,0,0,13,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.076,564.946,24.472,0.000287
38473,1,FM0734-KG,175841,3267,9.491,9.583,3417-01,3417,1,2.944,3.036,201902,FM0734,FM,734, ,KG,430, ,430,0.084,430, ,430,0.176,20150512,20150512,0, ,14,227,2100,90,90,4384,4,1,14,11,0,1,1,3,U3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3000036, , ,0,6,19950429,19950429,0,0, ,50,0,0,0,0,0,0,0, , , ,0,0,0,0,0,3,3,1.42E+14, , ,0,3,36,44,6,0,0,0,0,200,200,100,72,1,8,5,1,20,5,0,0,14,4,1,0,0,227H207B,2019,50152,50152,9.3,74,3.9,1.7,2.2,1932,852,1080,4.8,3.1,1.7,0.472,0.254,6702,9038,33,40,96,2018,61367,52498,60593,58489,52868,49138,45000,39000,44000,2039,60182,1.2,10030,5597,0,0,0,0,0,0,0,0,0, ,7, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0.552,4613.984,177.744,0.001496
38482,1,FM0734-KG,175841,3267,11.601,11.606,3417-01,3417,1,5.054,5.059,201902,FM0734,FM,734, ,KG,430, ,430,2.194,430, ,430,2.199,20150512,20150512,0, ,14,227,2100,90,90,4384,4,1,14,14,0,1,1,3,U3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3000036, , ,0,6,19950429,19950429,0,0, ,50,0,0,0,0,0,0,0, , , ,0,0,0,0,0,3,3, , , ,0,3,16,26,6,0,0,0,0,150,150,90,70,1,10,5,1,10,5,1,1,14,4,1,0,0,227H210A,2019,57987,57987,7.9,50,3.8,1.7,2.1,2180,961,1219,4.8,3.1,1.7,0.472,0.254,7574,10206,32,40,111,2018,63366,52976,63923,61539,50374,52683,51000,41000,53000,2039,69584,1.2,11597,5497,0,0,0,0,0,0,0,0,0, ,8, , ,KG,0,0,0,0,0,0,0,0,0,11,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.03,289.935,10.9,0.000084
38603,1,FM0812-KG,175924,3368,2.098,2.303,1149-01,1149,1,2.098,2.303,201908,FM0812,FM,812, ,KG,540, ,540,0.105,540, ,540,0.31,20150512,20150512,0, ,14,227,0,90,90,4384,4,1,14,6,0,1,1,4,U4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,3000185, , ,0,6,19950429,19950429,0,0, ,60,0,0,0,0,0,0,0, , , ,0,0,0,0,0,2,3, , , ,0,0,0,10,2,0,0,0,0,100,100,44,24,1,10,5,1,10,5,0,0,14,10,1,0,0,227H73,2019,18161,18161,7.8,74,6.8,5.3,1.5,1234,962,272,6.2,4.9,1.3,0.38,0.098,2350,2802,34,20,65,2018,15228,13513,13415,9860,11391,10919,12800,11500,9200,2039,21793,1.2,3632,1700,0,0,0,0,0,0,0,0,0, ,5, , ,KG,0,0,1,1,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.41,3723.005,252.97,0.003204
38650,1,FM0734-KG,175841,3267,16.131,16.665,3417-03,3417,3,4.525,5.059,201902,FM0734,FM,734, ,KG,436, ,436,0.365,436, ,436,0.899,20150512,20150512,0, ,14,227,2100,90,90,4384,4,1,14,10,0,1,1,3,U3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3000035, , ,0,6,19980603,19980603,0,0, ,65,0,0,0,0,0,0,0, , , ,0,0,0,0,0,3,3, , , ,0,2,66,76,4,0,0,0,0,200,200,84,68,1,10,5,1,6,5,0,2,14,4,1,0,0,227H28B,2019,31436,31436,7.8,60,4.3,1.9,2.4,1341,591,750,4.8,3.1,1.7,0.472,0.254,4635,6260,33,40,60,2018,31624,26310,29826,27294,20757,21468,17700,19100,20000,2039,37723,1.2,6287,2942,0,0,0,0,0,0,0,0,0, ,6, , ,KG,0,0,0,0,0,0,0,0,0,13,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534,2.136,16786.824,716.094,0.00886
