OBJECTID *,REC,RIA_RTE_ID,RTE_GRID,GID,FRM_DFO,TO_DFO,C_SEC,CON,SEC,BMP,EMP,RI_MPT_DATE,HWY,HSYS,HNUM,HSUF,RDBD_ID,FRM_NBR,FRM_SUF,FRM_NUM,FRM_DISP,TO_NBR,TO_SUF,TO_NUM,TO_DISP,FRM_MKR_DATE,TO_MKR_DATE,DIR_TRAV,STE_NAM,DI,CO,CITY,MPA,UAN,UAN_HPMS,RU,MSA_CNTY,MAINT_DIS,MNT_SEC,PBLC_LAND,ADMIN,RDWAY_MAINT_AGCY,F_SYSTEM,RU_F_SYSTEM,SEC_NHS,SEC_NHS_APRV_DT,SEC_STR,SEC_TRUNK,SEC_TRK,SEC_HAZ,SEC_EVAC,SEC_NFH,SEC_STM,SEC_TTT,SEC_PARK,SEC_BIC,SEC_ADP,SEC_FED_AID,MSA_CLS,TOP100ID,TOP_100_BEGIN_TERM,TOP_100_END_TERM,FRGHT_NTWRK,HWY_STAT,HWY_STAT_DATE,DOTT,DCTT,CLSR_RESN,HWY_NOTE,SPD_MAX,SPD_MIN,ALT_SPD_LMT,ALT_SPD_LMT_TYPE,SCHOOL_ZN,LOAD_AXLE,LOAD_GROSS,LOAD_TAND,TOLL_NM,TOLL_HPMS_ID,TOLL_FACILITY_TYPE,TOLL_LANE_TYPE,TOLL_CHRG_TYPE,TOLL_LANES,DBTP,PEAK_DRCT_TOLL,HWY_DES1,ACES_CTRL,BRDG_STRUC_NBR,CAUSEWAY,TUNNEL,MULT_MOD_FCLTY,MED_TYPE,MED_WID,HP_MED_W,NUM_LANES,CLMB_PS_LANE,ACCEL_DECEL_LANE,HOV_LANES,HOV_TYP,ROW_MIN,ROW_W_USL,RB_WID,SUR_W,S_TYPE_I,S_WID_I,S_USE_I,S_TYPE_O,S_WID_O,S_USE_O,CURB_L,CURB_R,BASE_TP,SRF_TYPE,SURF_TREAT_CODE,SURF_TREAT_THICK,SURF_TREAT_YEAR,TRF_STA_ID,ADT_YEAR,ADT_CUR,ADT_ADJ,K_FAC,D_FAC,TRK_AADT_PCT,PCT_SADT,PCT_CADT,AADT_TRUCKS,AADT_SINGLE_UNIT,AADT_COMBINATION,TRK_DHV_PCT,PCT_SDHV,PCT_CDHV,PCT_PK_SUT,PCT_PK_CUT,FLEX_ESAL,RIGID_ESAL,ATH_100,ATH_PCT,MOTORCYCLES,ADT_HIST_YR,HY_1,HY_2,HY_3,HY_4,HY_5,HY_6,HY_7,HY_8,HY_9,DESGN_YR,AADT_DESGN,INCRS_FCTR_PCT,INCRS_FCTR_MS,DHV,TRUCK_HY_1,TRUCK_HY_2,TRUCK_HY_3,TRUCK_HY_4,TRUCK_HY_5,TRUCK_HY_6,TRUCK_HY_7,TRUCK_HY_8,TRUCK_HY_9,HPMSID,HP_VOL_GRP,B_TERM,E_TERM,PHY_RDBD,PEAK_LANE,CNTR_PEAK_LANE,RT_TURN_LANE,LT_TURN_LANE,TRFC_SGNL,PCT_GREEN_TM,NBR_SGNL,NBR_STOP_SIGN,ATGRD_OTHR,LANE_WIDTH,PEAK_PRKG,WIDE_OBST,WIDE_PTNTL,CURV_CLASS_A,CURV_CLASS_B,CURV_CLASS_C,CURV_CLASS_D,CURV_CLASS_E,CURV_CLASS_F,VERT_GRADE_CLASS_A,VERT_GRADE_CLASS_B,VERT_GRADE_CLASS_C,VERT_GRADE_CLASS_D,VERT_GRADE_CLASS_E,VERT_GRADE_CLASS_F,TRRN,PPSD,PSR,PSR_DT,RUTTING,FAULT,CRACK_PCT,CRACK_LNGTH,YR_LAST_IMPRV,YR_LAST_CNSTR,LAST_OVRLY_THCK,PVMT_THICK_RIGID,PVMT_THICK_FLEX,BASE_THCK,CLMT_ZN,SOIL,LEN_SEC,LN_MILES,DVMT,DTRKVMT,Shape_Length,top10,ID,Corridor_ID
113377,1,IH0610-KG,153717,6301,7.951,8.004,0271-17,271,17,34.215,34.268,201908,IH0610,IH,610, ,KG,7, ,7,0.952,8, ,8,0.016,20150512,20150512,0, ,12,102,19750,15,15,40429,4,1,12,9,0,1,1,1,U1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1200185, , ,0,6,20171212,19950419,0,0, ,55,0,0,0,0,0,0,0, , , ,0,0,0,0,0,5,1, , , ,0,7,20,20,6,0,0,0,0,350,350,92,68,0,0,0,1,24,5,0,0,7,1,0,0,0,102H120,2019,209377,209377,10.2,53,4.4,2.1,2.2,9109,4450,4659,2.6,1.5,1.1,0.227,0.16,34119,46486,30,40,120,2018,208428,206047,207490,191000,179716,193451,190780,195030,192450,2039,293128,1.4,83751,29899,0,0,0,0,0,0,0,0,0, ,11, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0.318,11096.981,482.777,0.053125,1,1,1
113819,1,IH0610-KG,153717,6301,8.004,8.006,0271-17,271,17,34.268,34.27,201908,IH0610,IH,610, ,KG,8, ,8,0.016,8, ,8,0.018,20150512,20150512,0, ,12,102,19750,15,15,40429,4,1,12,9,0,1,1,1,U1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1200184, , ,0,6,20171212,19950419,0,0, ,55,0,0,0,0,0,0,0, , , ,0,0,0,0,0,5,1, , , ,0,7,20,20,6,0,0,0,0,350,350,92,68,0,0,0,1,24,5,0,0,7,1,0,0,0,102SP156,2019,221024,221024,10.2,60,4.4,2.8,1.7,9783,6104,3679,4,2.7,1.3,0.38,0.186,28944,38678,31,30,119,2018,218841,208520,207860,206994,204698,220342,217300,217920,213990,2039,309434,1.4,88410,31562,0,0,0,0,0,0,0,0,0, ,11, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.012,442.048,19.566,0.002003,1,2,2
114808,1,IH0610-KG,153717,6301,8.006,8.484,0271-17,271,17,34.27,34.748,201908,IH0610,IH,610, ,KG,8, ,8,0.018,8, ,8,0.496,20150512,20150512,0, ,12,102,19750,15,15,40429,4,1,12,9,0,1,1,1,U1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1200184, , ,0,6,20171212,19950419,0,0, ,60,0,0,0,0,0,0,0, , , ,0,0,0,0,0,5,1, , , ,0,7,2,26,8,0,0,0,0,350,350,144,96,1,24,5,1,24,5,0,0,7,1,0,0,0,102SP156,2019,221024,221024,10.2,60,4.4,2.8,1.7,9783,6104,3679,4,2.7,1.3,0.38,0.186,28944,38678,31,30,119,2018,218841,208520,207860,206994,204698,220342,217300,217920,213990,2039,309434,1.4,88410,31562,0,0,0,0,0,0,0,0,0, ,11, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478,3.824,105649.472,4676.274,0.478774,1,3,3
115835,1,IH0610-KG,153717,6301,8.484,8.777,0271-17,271,17,34.748,35.041,201908,IH0610,IH,610, ,KG,8, ,8,0.496,8, ,8,0.789,20150512,20150512,0, ,12,102,19750,15,15,40429,4,1,12,9,0,1,1,1,U1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1200184, , ,0,6,20171212,19950419,0,0, ,60,0,0,0,0,0,0,0, , , ,0,0,0,0,0,5,1, , , ,0,7,2,26,8,0,0,0,0,360,360,144,96,1,24,5,1,24,5,0,0,7,1,0,0,0,102SP156,2019,221024,221024,10.2,60,4.4,2.8,1.7,9783,6104,3679,4,2.7,1.3,0.38,0.186,28944,38678,31,30,119,2018,218841,208520,207860,206994,204698,220342,217300,217920,213990,2039,309434,1.4,88410,31562,0,0,0,0,0,0,0,0,0, ,11, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,2.344,64760.032,2866.419,0.2935,1,4,4
114296,1,IH0610-KG,153717,6301,8.777,10,0271-17,271,17,35.041,36.264,201908,IH0610,IH,610, ,KG,8, ,8,0.789,10, ,10,0.009,20150512,20150512,0, ,12,102,19750,15,15,40429,4,1,12,9,0,1,1,1,U1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1200184, , ,0,6,20171212,19950419,0,0, ,60,0,0,0,0,0,0,0, , , ,0,0,0,0,0,5,1, , , ,0,7,2,26,8,0,0,0,0,350,350,144,96,1,24,5,1,24,5,0,0,7,1,0,0,0,102SP156,2019,221024,221024,10.2,60,4.4,2.8,1.7,9783,6104,3679,4,2.7,1.3,0.38,0.186,28944,38678,31,30,119,2018,218841,208520,207860,206994,204698,220342,217300,217920,213990,2039,309434,1.4,88410,31562,0,0,0,0,0,0,0,0,0, ,11, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.223,9.784,270312.352,11964.609,1.22507,1,5,5
112854,1,IH0610-KG,153717,6301,10,11.341,0271-17,271,17,36.264,37.605,201908,IH0610,IH,610, ,KG,10, ,10,0.009,11, ,11,0.35,20150512,20150512,0, ,12,102,19750,15,15,40429,4,1,12,9,0,1,1,1,U1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1200184, , ,0,6,20171212,19950419,0,0, ,60,0,0,0,0,0,0,0, , , ,0,0,0,0,0,5,1, , , ,0,7,2,26,8,0,0,0,0,350,350,144,96,1,24,5,1,24,5,0,0,7,1,0,0,0,102SP156,2019,221024,221024,10.2,60,4.4,2.8,1.7,9783,6104,3679,4,2.7,1.3,0.38,0.186,28944,38678,31,30,119,2018,218841,208520,207860,206994,204698,220342,217300,217920,213990,2039,309434,1.4,88410,31562,0,0,0,0,0,0,0,0,0, ,11, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.341,10.728,296393.184,13119.003,1.343331,1,6,6
115855,1,IH0610-KG,153717,6301,11.341,11.581,0271-17,271,17,37.605,37.845,201908,IH0610,IH,610, ,KG,11, ,11,0.35,11, ,11,0.59,20150512,20150512,0, ,12,102,19750,15,15,40429,4,1,12,9,0,1,1,1,U1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1200184, , ,0,6,20171212,19950419,0,0, ,55,0,0,0,0,0,0,0, , , ,0,0,0,0,0,5,1, , , ,0,7,20,32,8,0,0,0,0,350,350,154,120,1,12,0,1,22,5,0,0,6,1,0,0,0,102SP156,2019,221024,221024,10.2,60,4.4,2.8,1.7,9783,6104,3679,4,2.7,1.3,0.38,0.186,28944,38678,31,30,119,2018,218841,208520,207860,206994,204698,220342,217300,217920,213990,2039,309434,1.4,88410,31562,0,0,0,0,0,0,0,0,0, ,11, , ,KG,0,0,0,0,0,0,0,0,0,13,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,1.92,53045.76,2347.92,0.240428,1,7,7
112834,1,IH0610-KG,153717,6301,11.581,11.62,0271-17,271,17,37.845,37.884,201908,IH0610,IH,610, ,KG,11, ,11,0.59,11, ,11,0.629,20150512,20150512,0, ,12,102,19750,15,15,40429,4,1,12,9,0,1,1,1,U1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1200184, , ,0,6,20171212,19950419,0,0, ,55,0,0,0,0,0,0,0, , , ,0,0,0,0,0,5,1, , , ,0,7,20,32,8,0,0,0,0,350,350,132,98,1,12,0,1,22,5,0,0,6,1,0,0,0,102SP156,2019,221024,221024,10.2,60,4.4,2.8,1.7,9783,6104,3679,4,2.7,1.3,0.38,0.186,28944,38678,31,30,119,2018,218841,208520,207860,206994,204698,220342,217300,217920,213990,2039,309434,1.4,88410,31562,0,0,0,0,0,0,0,0,0, ,11, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.312,8619.936,381.537,0.039008,1,8,8
108507,1,IH0069-KG,153720,1512060726,28.63,28.693,0027-13,27,13,8.927,8.99,201910,IH0069,IH,69, ,KG,123, ,123,0.645,123, ,123,0.708,20171223,20171223,0, ,12,102,19750,15,15,40429,4,1,12,9,0,1,1,1,U1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,13,1200188, , ,0,6,20171223,19950429,0,0, ,65,0,0,0,0,0,0,0,US 59 (Southwest Freeway) HOV/HOT Lane,343,2,2,1,1,0,0,5,1, , , ,0,7,45,45,7,0,0,1,1,400,400,94,94,0,0,0,0,0,0,0,0,1,1,1,0,0,102SP140,2019,316892,316892,10.2,63,3.8,1.8,2,12070,5705,6365,3.1,2,1.1,0.286,0.162,42564,58130,30,40,255,2018,330096,329766,341309,324932,290793,313017,311460,293930,317130,2039,443649,1.4,126757,45252,0,0,0,0,0,0,0,0,0, ,12, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0.441,19964.196,760.41,0.063114,2,9,1
106475,1,IH0069-KG,153720,1512060726,28.693,28.695,0027-13,27,13,8.99,8.992,201910,IH0069,IH,69, ,KG,123, ,123,0.708,123, ,123,0.71,20171223,20171223,0, ,12,102,19750,15,15,40429,4,1,12,9,0,1,1,1,U1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,13,1200188, , ,0,6,20171223,19950429,0,0, ,65,0,0,0,0,0,0,0,US 59 (Southwest Freeway) HOV/HOT Lane,343,2,2,1,1,0,0,5,1, , , ,0,7,45,45,7,0,0,1,1,400,400,94,94,0,0,0,0,0,0,0,0,1,1,1,0,0,102H120A,2019,297342,297342,10.2,63,3.9,1.8,2.1,11589,5477,6112,3.1,2,1.1,0.286,0.162,40835,55789,30,40,239,2018,300345,300045,308403,283888,278322,279440,278050,276000,301000,2039,416279,1.4,118937,42460,0,0,0,0,0,0,0,0,0, ,12, , ,KG,0,0,0,0,0,0,0,0,0,12,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.014,594.684,23.178,0.002004,2,10,2
