Crash_ID,Crash_Date,Crash_Time,Crash_Speed_Limit,Crash_Fatal_Fl,Rpt_Hwy_Num
14199980,1/1/15,9:12 AM,60,N,610.0
14201647,1/1/15,2:15 PM,60,N,59.0
14202855,1/2/15,9:32 PM,60,N,610.0
14203076,1/3/15,2:00 AM,60,N,610.0
14206356,1/3/15,9:00 PM,60,N,610.0
14206406,1/5/15,5:01 PM,60,N,610.0
14207986,1/5/15,6:56 AM,60,N,610.0
14208030,1/5/15,7:10 AM,45,N,610.0
14208162,1/5/15,3:53 PM,60,N,610.0
14208272,1/4/15,9:40 PM,60,N,610.0
14209861,1/6/15,6:20 PM,60,N,610.0
14209871,1/5/15,3:30 PM,45,N,610.0
14210043,1/3/15,6:05 PM,65,N,610.0
14210380,1/1/15,4:52 PM,30,N,
14211915,1/7/15,6:30 PM,60,N,610.0
14212123,1/7/15,6:05 PM,60,N,610.0
14212737,1/1/15,9:15 AM,60,N,610.0
14212761,1/7/15,8:40 AM,35,N,610.0
14215687,1/3/15,11:50 PM,45,N,610.0
14216057,1/9/15,8:54 AM,60,N,610.0
14219333,1/2/15,11:56 PM,60,N,610.0
14222942,1/12/15,6:30 AM,65,N,610.0
14223240,1/13/15,7:00 PM,65,N,610.0
14223794,1/11/15,9:45 AM,60,N,610.0
14223798,1/11/15,8:08 AM,60,N,610.0
14225140,1/14/15,7:45 AM,60,N,610.0
14225496,1/11/15,12:15 AM,60,N,610.0
14225557,1/15/15,1:45 PM,60,N,610.0
14226553,1/1/15,6:46 AM,65,N,610.0
14226822,1/16/15,8:25 AM,60,N,610.0
14227494,1/15/15,6:20 PM,35,N,610.0
14227495,1/16/15,3:45 PM,60,N,610.0
14227718,1/14/15,7:55 PM,65,N,610.0
14227972,1/16/15,1:49 PM,60,N,610.0
14228054,1/10/15,10:06 AM,60,N,610.0
14228545,1/1/15,8:00 PM,60,N,610.0
14228556,1/1/15,1:00 AM,60,N,610.0
14228848,1/18/15,11:40 AM,45,N,610.0
14229646,1/18/15,3:15 PM,60,N,610.0
14230008,1/18/15,6:55 AM,60,N,610.0
14231431,1/15/15,6:40 PM,60,N,610.0
14231752,1/20/15,2:00 PM,60,N,610.0
14231786,1/17/15,6:15 PM,60,N,610.0
14233332,1/13/15,2:57 PM,60,N,610.0
14233588,1/20/15,8:10 PM,65,N,610.0
14233853,1/19/15,2:19 PM,60,N,610.0
14233854,1/19/15,6:47 PM,60,N,610.0
14234094,1/21/15,9:25 AM,60,N,610.0
14235874,1/19/15,3:40 PM,60,N,610.0
14238221,1/23/15,12:14 AM,60,N,610.0
14238246,1/23/15,8:24 AM,30,N,610.0
14238338,1/23/15,8:00 AM,40,N,610.0
14238834,1/23/15,8:10 AM,35,N,
14239047,1/20/15,4:50 PM,60,N,610.0
14241126,1/26/15,6:10 AM,60,N,610.0
14241212,1/23/15,11:00 AM,65,N,610.0
14241247,1/17/15,4:00 PM,65,N,610.0
14241309,1/25/15,4:41 PM,60,N,610.0
14241380,1/17/15,4:55 PM,55,N,610.0
14241432,1/1/15,7:40 PM,60,N,610.0
14241448,1/1/15,7:01 PM,60,N,610.0
14241629,1/21/15,3:44 PM,60,N,610.0
14243522,1/23/15,7:30 PM,65,N,610.0
14243860,1/12/15,4:40 PM,35,N,610.0
14243878,1/1/15,7:30 PM,65,N,610.0
14245523,1/28/15,3:20 PM,60,N,610.0
14246911,1/25/15,3:13 PM,60,N,610.0
14246943,1/24/15,5:00 PM,60,N,610.0
14247119,1/29/15,2:20 PM,60,N,610.0
14247545,1/26/15,11:30 AM,65,N,610.0
14248459,1/28/15,2:32 PM,45,N,
14248462,1/16/15,3:00 PM,60,N,610.0
14248488,1/29/15,7:45 PM,60,N,610.0
14248506,1/30/15,11:15 AM,50,N,
14248626,1/28/15,9:20 PM,60,N,610.0
14248639,1/29/15,3:30 PM,45,N,610.0
14249271,1/27/15,9:00 AM,55,N,610.0
14249601,1/25/15,6:42 PM,60,N,610.0
14249695,1/29/15,4:31 AM,60,N,610.0
14250258,1/31/15,7:50 PM,60,N,610.0
14250259,1/31/15,5:00 PM,60,N,610.0
14250572,2/1/15,11:56 AM,65,N,610.0
14251878,1/29/15,7:10 PM,40,N,610.0
14252436,1/28/15,7:25 PM,60,N,610.0
14252506,1/30/15,3:25 AM,60,N,610.0
14252533,1/31/15,10:45 PM,60,N,610.0
14254655,1/30/15,11:00 AM,60,N,610.0
14256618,2/4/15,12:45 PM,60,N,610.0
14256660,2/4/15,11:45 AM,60,N,610.0
14258529,1/31/15,11:23 PM,65,N,610.0
14259656,1/31/15,4:32 PM,60,N,610.0
14259979,2/5/15,5:40 PM,60,N,610.0
14260116,1/24/15,4:30 PM,60,N,610.0
14260363,1/14/15,3:01 PM,30,N,610.0
14261097,2/4/15,7:30 AM,60,N,610.0
14261326,2/7/15,6:17 PM,40,N,610.0
14263627,2/8/15,3:15 PM,60,N,610.0
14264341,2/9/15,3:00 PM,60,N,610.0
14265511,2/6/15,9:16 AM,60,N,610.0
14265512,2/6/15,1:15 PM,35,N,610.0
14265513,2/9/15,12:40 PM,65,N,610.0
14265925,2/10/15,8:25 AM,60,N,610.0
14266437,2/9/15,7:50 PM,55,N,610.0
14266440,2/10/15,4:20 PM,60,N,610.0
14266986,2/7/15,12:15 PM,45,N,610.0
14267181,2/10/15,10:08 AM,65,N,610.0
14267182,2/10/15,9:35 AM,60,N,610.0
14267990,2/10/15,5:45 PM,60,N,610.0
14268851,2/11/15,11:44 AM,60,N,610.0
14270942,2/11/15,2:14 PM,35,N,610.0
14270989,2/8/15,9:31 PM,60,N,610.0
14271167,2/12/15,11:52 AM,60,N,610.0
14271487,2/9/15,8:00 AM,65,N,610.0
14272221,2/12/15,11:30 PM,60,N,610.0
14272726,2/12/15,2:30 PM,60,N,610.0
14273514,2/12/15,6:50 AM,60,N,610.0
14273748,2/13/15,2:00 PM,60,N,610.0
14273985,2/6/15,7:39 PM,65,N,610.0
14274050,2/14/15,2:46 PM,65,N,610.0
14275094,2/12/15,2:15 PM,60,N,610.0
14275392,2/13/15,6:45 PM,60,N,610.0
14275440,2/11/15,4:00 PM,65,N,610.0
14275443,2/12/15,3:58 PM,60,N,610.0
14275452,2/15/15,3:10 PM,65,N,610.0
14277564,2/16/15,9:25 AM,60,N,610.0
14278312,2/12/15,6:15 PM,55,N,610.0
14278462,2/11/15,11:50 PM,40,N,610.0
14278500,2/16/15,12:35 AM,60,N,610.0
14278546,2/5/15,2:16 PM,45,N,610.0
14278798,2/17/15,12:48 PM,65,N,610.0
14280688,2/17/15,2:00 PM,60,N,610.0
14281684,2/17/15,8:45 AM,60,N,610.0
14282759,2/18/15,11:09 AM,60,N,610.0
14283264,2/18/15,7:49 PM,45,N,610.0
14283588,2/18/15,5:56 PM,60,N,610.0
14283666,2/18/15,11:10 AM,35,N,610.0
14284910,2/17/15,12:50 PM,60,N,610.0
14286128,2/19/15,4:59 PM,30,N,
14287001,2/20/15,9:15 AM,60,N,610.0
14287299,2/17/15,7:20 PM,60,N,610.0
14290693,2/19/15,5:33 PM,35,N,610.0
14290776,2/21/15,11:50 AM,60,N,610.0
14290831,2/21/15,2:45 AM,65,N,610.0
14291059,2/19/15,9:47 AM,55,N,
14292776,2/22/15,2:00 PM,60,N,610.0
14293455,2/18/15,7:15 AM,60,N,610.0
14293674,2/18/15,12:02 PM,60,N,610.0
14293695,2/23/15,8:30 AM,60,N,610.0
14295360,2/25/15,11:30 AM,60,N,610.0
14296916,2/25/15,7:20 PM,60,N,610.0
14296951,2/26/15,2:45 PM,60,N,610.0
14297184,2/22/15,4:59 PM,60,N,610.0
14297509,2/23/15,11:10 AM,45,N,610.0
14298530,2/24/15,7:38 PM,60,N,610.0
14299021,2/26/15,4:50 PM,65,N,610.0
14299022,2/23/15,10:32 PM,60,N,610.0
14299776,2/26/15,2:11 PM,60,N,610.0
14300072,2/28/15,1:25 AM,60,N,610.0
14300182,2/26/15,12:30 PM,45,N,610.0
14300624,2/25/15,2:33 PM,60,N,610.0
14300823,2/28/15,11:10 PM,65,N,610.0
14302599,3/2/15,7:45 AM,60,N,610.0
14303248,2/28/15,7:37 PM,60,N,610.0
14303344,2/26/15,2:51 PM,35,N,610.0
14306905,3/2/15,7:00 PM,60,N,610.0
14306918,2/28/15,10:20 PM,60,N,610.0
14306919,2/28/15,1:00 AM,60,N,610.0
14307245,2/28/15,9:47 PM,60,N,610.0
14307719,3/5/15,12:30 PM,35,N,610.0
14307738,3/6/15,9:00 AM,60,N,610.0
14307747,3/6/15,12:40 PM,60,N,610.0
14307944,3/6/15,3:25 PM,65,N,610.0
14308286,3/4/15,2:35 PM,60,N,610.0
14308513,3/6/15,11:05 AM,60,N,610.0
14308949,3/5/15,2:00 PM,60,N,610.0
14309625,3/7/15,3:50 AM,60,N,610.0
14309645,3/7/15,11:15 PM,60,N,610.0
14309816,3/5/15,8:50 AM,60,N,610.0
14312279,3/7/15,8:10 PM,60,N,610.0
14313234,3/1/15,3:39 PM,60,N,610.0
14313302,3/4/15,6:38 PM,60,N,610.0
14313638,3/1/15,12:05 AM,60,N,610.0
14313672,3/5/15,3:20 AM,55,N,610.0
14313915,3/5/15,9:36 AM,35,N,
14314051,3/4/15,5:55 AM,60,N,610.0
14314127,3/6/15,11:20 AM,60,N,610.0
14316097,3/6/15,3:03 PM,50,N,610.0
14319192,3/4/15,4:15 PM,65,N,610.0
14319287,3/11/15,5:25 PM,60,N,610.0
14321131,3/11/15,3:40 PM,60,N,610.0
14321634,3/12/15,11:24 PM,45,N,610.0
14321787,3/7/15,1:54 PM,65,N,610.0
14322890,3/13/15,11:05 AM,60,N,610.0
14323636,3/4/15,9:35 PM,35,N,
14323729,3/5/15,5:55 AM,30,N,610.0
14323903,3/13/15,6:37 PM,35,N,610.0
14323997,3/13/15,6:50 AM,60,N,610.0
14324079,3/9/15,2:00 PM,-1,N,610.0
14324101,3/13/15,7:30 PM,35,N,610.0
14325020,3/9/15,4:02 PM,35,N,610.0
14325036,3/12/15,5:17 PM,60,N,610.0
14325966,3/14/15,12:15 PM,60,N,610.0
14326037,3/12/15,8:00 AM,60,N,610.0
14327418,3/15/15,3:00 PM,60,N,610.0
14327716,3/13/15,4:50 AM,65,N,610.0
14327986,3/4/15,12:45 PM,65,N,610.0
14329206,3/16/15,6:50 AM,45,N,610.0
14329467,3/13/15,9:45 PM,60,N,610.0
14329550,3/7/15,5:12 PM,65,N,610.0
14330288,3/12/15,12:45 PM,45,N,610.0
14331675,3/16/15,6:00 PM,60,N,610.0
14332130,3/15/15,1:00 PM,65,N,610.0
14332216,3/18/15,2:30 PM,60,N,610.0
14334049,3/16/15,2:17 PM,60,N,610.0
14334753,3/15/15,1:00 PM,65,N,610.0
14335783,3/19/15,2:06 PM,60,N,610.0
14336244,3/14/15,7:19 PM,60,N,610.0
14336483,3/14/15,12:40 PM,55,N,610.0
14336585,3/21/15,7:31 AM,60,N,610.0
14336708,3/19/15,11:25 AM,45,N,610.0
14337004,3/20/15,4:23 PM,60,N,610.0
14337053,3/20/15,11:53 PM,60,N,610.0
14337209,3/21/15,9:50 PM,60,N,610.0
14337267,3/18/15,12:00 PM,60,N,610.0
14338884,3/1/15,3:46 PM,35,N,
14339772,3/9/15,6:09 AM,65,N,610.0
14340815,3/23/15,3:19 PM,60,N,610.0
14340817,3/23/15,6:12 PM,60,N,610.0
14341207,3/23/15,2:31 PM,60,N,610.0
14341220,3/22/15,5:17 PM,60,N,610.0
14343817,3/22/15,10:00 PM,60,N,610.0
14345521,3/15/15,8:55 PM,55,N,610.0
14345777,3/20/15,12:15 AM,60,N,610.0
14347402,3/16/15,4:28 PM,60,N,610.0
14347636,3/23/15,6:57 PM,60,N,610.0
14347770,3/15/15,5:00 AM,40,N,610.0
14347776,3/26/15,9:10 PM,60,N,610.0
14348481,3/28/15,2:30 AM,60,N,610.0
14348484,3/23/15,5:30 AM,60,N,610.0
14348570,3/28/15,2:45 AM,60,N,610.0
14350166,3/21/15,11:10 AM,35,N,
14350244,3/13/15,10:58 AM,65,N,610.0
14350294,3/23/15,9:50 AM,65,N,610.0
14350409,3/25/15,12:30 PM,60,N,610.0
14350941,3/28/15,9:00 PM,65,N,610.0
14351528,3/29/15,3:13 PM,60,N,610.0
14352010,3/24/15,11:15 PM,60,N,610.0
14352138,3/28/15,9:35 AM,45,N,610.0
14353443,3/30/15,12:00 PM,35,N,
14353840,3/30/15,6:02 PM,65,N,610.0
14353871,3/29/15,6:15 PM,45,N,610.0
14353931,3/24/15,6:21 PM,60,N,610.0
14355265,3/31/15,12:00 PM,40,N,610.0
14356043,3/28/15,4:30 PM,60,N,610.0
