,0
0,RICEVILLE SCHOOL RD
1,SH0006
2,BANDLON DR
3,JONES RD
4,SPRING CYPRESS RD
5,WIGGINS RD
6,IH0010
7,HARRISBURG BLVD
8,SH0003
9,SS0330
10,SH0035
11,BELLAIRE BLVD
12,S BRAESWOOD BLVD
13,RICHMOND AVE
14,IH0045
15,HILLCROFT AVE
16,BAY AREA BLVD
17,IH0610
18,SH0288
19,ZOE ST
20,MILE DR
21,TELGE RD
22,BARKER CYPRESS RD
23,CLAY RD
24,GROGANS MILL RD
25,RESEARCH FOREST DR
26,UA0090
27,SOUTHWEST FWY
28,FM1093
29,HAMMERLY BLVD
30,S DAIRY ASHFORD ST
31,BARKLEY ST
32,SMALLWOOD LN
33,FM0723
34,SEVEN MEADOWS PKWY
35,S WILCREST DR
36,FM0865
37,IDAHO ST
38,AVENUE E
39,DECKER PRAIRIE ROSEHL RD
40,W AIRPORT BLVD
41,SHADOWDALE DR
42,WESTHEIMER RD
43,ROYAL PINE DR
44,SHELDON RD
45,SAM HOUSTON TLWY E
46,WHITLOCK DR
47,US0290
48,EUROPA ST
49,WEST RD
50,DOWLING ST
51,HILLCROFT ST
52,RENWICK DR
53,FM1960
54,AIRLINE DR
55,W 43RD ST
56,BISSONNET ST
57,STALLINGS DR
58,ANTOINE DR
59,WITTE RD
60,KINGWOOD DR
61,S SOUTH SAM HOUSTON W PKWY
62,ALDINE WESTFIELD RD
63,TIDWELL RD
64,UVALDE RD
65,N ALEXANDER DR
66,BOB SMITH RD
67,ROLLINGBROOK DR
68,HOLCOMBE BLVD
69,E BAKER RD
70,GARTH RD
71,MASSEY TOMPKINS RD
72,LITTLE YORK RD
73,IH0069
74,TELEPHONE RD
75,GESSNER RD
76,MELANITE AVE
77,QUITMAN ST
78,US0059
79,ARGONNE ST
80,JEFFERSON ST
81,S SHEPHERD DR
82,YALE ST
83,MAURY ST
84,W GRAY
85,YELLOWSTONE BLVD
86,GLENFIELD CT
87,BUFFALO SPEEDWAY
88,IMPERIAL VALLEY DR
89,ANDERSON OAKS ST
90,FONDREN RD
91,HARWIN DR
92,PARK ROW A DR
93,MILLS RD
94,WESLAYAN ST
95,TX 197 LOOP
96,W SAM HOUSTON PKWY S
97,N FRY RD
98,DAIRY ASHFORD RD
99,N MASON RD
100,WESTCOTT ST
101,CORPORATE DR
102,TRES LAGUNAS DR
103,LERWICK DR
104,STUEBNER AIRLINE RD
105,KUYKENDAHL RD
106,W MONTGOMERY RD
107,RED RIVER DR
108,TOWN PARK DR
109,HARDY ST
110,E 27TH ST
111,W LITTLE YORK RD
112,PINEMONT DR
113,MOSS ROSE ST
114,WESTPARK DR
115,CHIMNEY ROCK RD
116,FM0517
117,HIRAM CLARKE RD
118,BS0146E
119,DECKER DR
120,FM 1960 RD W
121,W EL DORADO BLVD
122,WILCREST DR
123,E WILLIAMS RD
124,SH0105
125,W ROSAMOND ST
126,HAZARD ST
127,BOONE RD
128,KIRBY DR
129,BEECHNUT ST
130,SHARPCREST LN
131,FM1764
132,N NORTH SAM HOUSTON E PKWY
133,FULTON ST
134,N SHEPHERD DR
135,MORNINGSIDE DR
136,BENNINGTON ST
137,25TH AVE N
138,SH0146
139,KEEGANS RIDGE RD
140,PHILCO DR
141,DE MOSS DR
142,BRAZOS ST
143,ALMEDA GENOA RD
144,REED RD
145,LOUETTA RD
146,FM2920
147,N ELDRIDGE PKWY
148,SH0249
149,FANNIN ST
150,BAGBY ST
151,BINGLE RD
152,KEMPWOOD DR
153,STELLA LINK RD
154,JOHN F KENNEDY BLVD
155,W SAM HOUSTON PKWY N
156,WESTPARK TLWY
157,W HOUSTON CENTER BLVD
158,S GESSNER RD
159,W BELLFORT ST
160,LA SALETTE ST
161,FM0529
162,GESSNER DR
163,CARVER RD
164,SOUTHDOWN TRACE TRL
165,FM0646
166,S GESSNER DR
167,SHEPHERD DR
168,BRISCOE ST
169,CRESTMONT ST
170,BELLFORT ST
171,WIRT RD
172,BLALOCK RD
173,MYKAWA
174,ALLEN PKWY
175,MILAM ST
176,POLK ST
177,EL DORADO BLVD
178,TRUXTON ST
179,NAVIGATION BLVD
180,N SAM HOUSTON PKWY E
181,VICTORIA ST
182,AQUEDUCT RD
183,FURMAN RD
184,MILAM
185,CHETWOOD DR
186,ELDRIDGE PKWY
187,WILL CLAYTON PKWY
188,MAXEY RD
189,S BW 8 WEST
190,E WITCHER LN
191,WESTFAIR EAST DR
192,PATRIOT PARK LN
193,KEENAN CUT OFF RD
194,LA SALLE AVE
195,CAPITOL HILL RD
196,PARKHOLLOW DR
197,OLD HEMPSTEAD RD
198,PELICAN MARSH DR
199,STAFFORDSHIRE RD
200,FEDERAL RD
201,N WAYSIDE DR
202,FRY RD
203,SH0242
204,FM1314
205,KATY MILLS CIRCLE
206,US0090
207,OAK AVE
208,SH0099
209,ATWELL DR
210,HARLEM RD
211,FAIRMONT PKWY
212,E SAM HOUSTON PKWY
213,EASTER ST
214,BURKE RD
215,BAFING DR
216,WESTBOROUGH DR
217,MORTON RD
218,S MASON RD
219,FM3083
220,KATY HOLLOW DR
221,NEWCASTLE ST
222,NEWCASTLE DR
223,RED BLUFF RD
224,FALLBROOK DR
225,E SOUTHMORE AVE
226,SUPER ST
227,MARTIN LUTHER KING JR BLVD
228,PLANTATION DR
229,CREIGHTON RD
230,SL0336
231,N GESSNER RD
232,SGT ED HOLCOMB BLVD S
233,FM1488
234,FM 1960
235,COBIA DR
236,ADDICKS CLODINE RD
237,ALIEF CLODINE RD
