Corridor_ID,Highway Name,From DFO,To DFO,Length (mi),Number of Crashes (5 Years),Crashes Per Mile Per Year,Average Lanes,Crashes Per Mile Per Lane Per Year,Average AADT,Average VMT (100M),Crashes Per 100M VMT
1,FM0685,5.599,7.957999999999999,2.359,548,46.46036456125477,4.0,2.3230182280627387,27574.199999999742,0.23742351296999778,461.62234998961407
2,FM0734,6.547000000000001,19.385,12.837999999999997,1607,25.035052188814465,5.463596764156814,0.9164311814903153,46663.1961418793,2.186576709053479,146.9877542686929
3,FM0812,0.0,6.979,6.979000000000001,799,22.897263218226104,2.6332916145181477,1.7390602006998723,15200.551939925022,0.3872089797588891,412.69704049607975
4,FM0969,0.0,16.712,16.712000000000003,1157,13.846337960746766,3.3232497839239414,0.8333010673905855,20549.650475367223,1.2535040194168303,184.60251935024078
5,FM0973,6.809,36.403,27.602999999999998,877,6.354381770097453,2.209806157354618,0.5751076173762091,12503.795438996576,1.259769269084572,139.23184531041682
6,FM1100,0.0,6.52,6.5200000000000005,30,0.920245398773006,2.0,0.09202453987730061,1571.3600000000001,0.037395225280000007,160.44829132795638
7,FM1325,1.4480000000000002,8.171,3.4840000000000004,523,30.02296211251435,4.0688336520076485,1.4757527429365607,39387.06692160642,0.5008695752153003,208.83680138694268
8,FM1327,0.0,7.331,7.3309999999999995,169,4.610557904787887,2.0236686390532546,0.45566332509307184,13437.456804733762,0.35956148479958666,94.00339421459319
9,FM1625,0.0,5.13,5.13,93,3.625730994152047,2.0,0.36257309941520466,5680.541935483868,0.10636530747096767,174.86904745776116
10,FM1626,0.0,4.236000000000001,4.236,351,16.572237960339944,2.131054131054131,1.5553089636575723,16879.36068376071,0.2609785472758978,268.9876265032118
11,FM1825,0.0,3.9130000000000003,3.913,809,41.34934832609252,3.4066749072929543,2.427548824079017,26335.526328800897,0.37613583801478234,430.1637431146382
12,FM2304,0.0,4.52,4.519999999999997,482,21.327433628318598,2.7219917012448134,1.567046190373409,30633.80290456421,0.5053964803195,190.74133626545665
13,FM3177,0.0,4.681,4.681,198,8.459730826746421,4.0,0.42298654133732105,11537.688888888928,0.19712891416444514,200.88377277300702
14,FS1825,0.0,0.715,0.7150000000000001,16,4.475524475524475,2.0,0.4475524475524475,9608.0,0.025074478000000004,127.6198052856773
15,IH0035,221.24200000000002,249.576,28.334000000000007,16021,113.08675089997878,6.6155670682229575,3.41880748041016,160511.94565881582,16.600000959283644,193.02408523103324
16,RM0012,0.0,0.466,0.466,14,6.008583690987124,2.0,0.6008583690987124,7996.800000000002,0.013601757120000006,205.85575637745242
17,RM0620,0.0,16.792,16.791999999999994,2592,30.871843735111966,4.143132716049383,1.4902657409704854,39036.1197530865,2.392555008562473,216.6721342434137
18,RM1431,36.28,55.945,19.66499999999999,426,4.332570556826852,3.676056338028169,0.2357183981108862,16735.43755868549,1.2012236855091574,70.92767236260967
19,RM1826,0.0,4.453,4.452999999999999,144,6.467549966314845,2.0,0.6467549966314845,14419.252777777789,0.23436260406097237,122.88649938582915
20,RM2222,0.0,10.772,10.771999999999995,985,18.288154474563694,4.0,0.9144077237281847,35101.83248730991,1.380126829369553,142.74050457376467
21,RM2244,0.0,11.249,11.249,1159,20.606276113432305,4.399482312338223,0.9367591298477365,33392.10992234688,1.3710416324851522,169.0685348335039
22,RM2322,0.0,4.586,4.586,23,1.003052769297863,2.0,0.1003052769297863,3958.599999999999,0.06626260953999998,69.4207492269554
