Crash_ID,Cmv_Involv_Fl,Crash_Date,Crash_Time,Crash_Speed_Limit,Wthr_Cond_ID,Light_Cond_ID,Surf_Cond_ID,Traffic_Cntl_ID,Harm_Evnt_ID,Intrsct_Relat_ID,FHE_Collsn_ID,Road_Relat_ID,Cnty_ID,City_ID,Latitude,Longitude,Hwy_Sys,Hwy_Nbr,Dfo,Street_Name,Onsys_Fl,Rural_Fl,Crash_Sev_ID,Day_of_Week,Shldr_Width_Left,Shldr_Width_Right,Median_Width,Nbr_Of_Lane,Func_Sys_ID,Adt_Curnt_Amt,Adt_Curnt_Year,Trk_Aadt_Pct,Curve_Type_ID,Curve_Lngth,Cd_Degr,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,Year
14839123,N,01/01/2016,12:23 AM,80,11,4,1,20,10,4,1,2.0,227,9999,30.29562745,-97.57088993,SH,130.0,29.381,SH0130,Y,Y,2,FRI,12.0,20.0,135.0,4.0,12.0,39424.0,2018.0,17.9,1.0,1686.0,0.0,0,1,0,0,0,1,0,2016
14839940,N,01/01/2016,08:50 PM,-1,12,3,1,1,2,4,46,1.0,227,9999,30.29975559,-97.83821351,RM,2244.0,6.86,RM2244,Y,Y,2,FRI,10.0,10.0,0.0,4.0,14.0,49430.0,2018.0,3.1,1.0,37.0,4.0,0,1,3,1,0,4,0,2016
14842086,N,01/01/2016,09:08 AM,45,11,1,1,11,7,4,1,2.0,227,22,30.35692503,-97.70074296,SL,275.0,5.0310000000000015,SL0275,Y,N,1,FRI,0.0,0.0,0.0,4.0,14.0,37706.0,2018.0,1.2,1.0,112.0,0.0,1,0,0,0,0,1,0,2016
14842189,N,01/02/2016,06:46 PM,55,2,4,6,1,2,4,20,1.0,227,22,30.3441924,-97.69694545,IH,35.0,239.693,IH0035,Y,N,2,SAT,20.0,20.0,3.0,6.0,11.0,145168.0,2018.0,11.9,,,,0,1,0,9,0,1,0,2016
14842205,N,01/03/2016,03:41 PM,-1,11,1,1,1,2,4,22,1.0,227,22,30.28943453,-97.72311252,IH,35.0,235.565,IH0035,Y,N,2,SUN,8.0,20.0,24.0,8.0,11.0,202376.0,2018.0,9.3,,,,0,1,0,2,1,1,0,2016
14842252,N,01/03/2016,06:09 PM,40,11,3,1,20,2,2,22,1.0,227,22,30.33519908,-97.74286778,RM,2222.0,9.534,RM2222,Y,N,2,SUN,0.0,0.0,0.0,4.0,14.0,34181.0,2018.0,3.5,,,,0,1,0,6,0,1,0,2016
14842253,N,01/03/2016,04:16 PM,50,11,1,2,9,2,2,22,1.0,227,22,30.32557857,-97.67328047,US,290.0,127.157,US0290,Y,N,2,SUN,12.0,20.0,36.0,4.0,12.0,24503.0,2018.0,2.7,,,,0,1,1,4,0,2,0,2016
14844465,N,01/04/2016,03:04 PM,50,11,1,1,20,2,3,34,1.0,227,22,30.44790964,-97.66220172,FM,1825.0,0.721,FM1825,Y,N,2,MON,8.0,8.0,0.0,4.0,16.0,34141.0,2018.0,3.5,1.0,102.0,4.0,0,2,1,0,0,3,0,2016
14844467,N,01/04/2016,04:14 PM,-1,11,1,1,1,2,3,10,1.0,227,22,30.40926635,-97.67801803,SL,275.0,1.149,SL0275,Y,N,2,MON,0.0,10.0,0.0,4.0,17.0,4708.0,2018.0,1.4,1.0,49.0,2.0,0,1,2,0,1,3,0,2016
14844476,N,01/04/2016,06:49 PM,60,11,3,1,11,2,4,22,1.0,227,22,30.345848699999998,-97.79951774,SL,360.0,4.892,SL0360,Y,N,2,MON,8.0,20.0,60.0,4.0,14.0,53846.0,2018.0,2.7,,,,0,1,0,2,0,1,0,2016
14844480,N,01/04/2016,06:31 PM,70,11,4,1,20,2,4,20,1.0,227,22,30.18204817,-97.77625051,IH,35.0,227.331,IH0035,Y,N,2,MON,6.0,20.0,30.0,6.0,11.0,156852.0,2018.0,11.1,,,,0,1,0,3,0,1,0,2016
14848769,Y,01/01/2016,01:22 AM,-1,11,4,1,20,2,4,21,1.0,227,22,30.19626582,-97.76585917,IH,35.0,228.49,IH0035,Y,N,1,FRI,24.0,24.0,42.0,6.0,11.0,170988.0,2018.0,10.7,,,,1,1,0,1,0,2,0,2016
14848770,N,01/01/2016,04:17 PM,45,11,1,1,5,2,3,10,1.0,227,22,30.23429398,-97.79613665,SL,343.0,0.374,SL0343,Y,N,2,FRI,6.0,16.0,10.0,2.0,14.0,36688.0,2018.0,1.5,,,,0,1,0,1,0,1,0,2016
14848802,N,01/04/2016,08:35 PM,-1,11,4,1,20,2,2,21,1.0,227,22,30.35083993,-97.70915299,SL,275.0,5.684,SL0275,Y,N,2,MON,8.0,8.0,0.0,4.0,14.0,37706.0,2018.0,1.2,,,,0,1,0,2,0,1,0,2016
14848815,N,01/05/2016,08:58 AM,45,11,1,1,11,2,4,20,1.0,227,22,30.21630725,-97.74714881,SH,71.0,123.756,SH0071,Y,N,2,TUE,20.0,20.0,32.0,6.0,12.0,122565.0,2018.0,3.2,1.0,202.0,0.0,0,2,0,1,0,2,0,2016
14848882,N,01/06/2016,02:26 PM,45,12,1,1,20,7,2,1,2.0,227,22,30.23536845,-97.86003115,US,290.0,110.295,US0290,Y,N,2,WED,6.0,6.0,0.0,4.0,14.0,72290.0,2018.0,2.7,,,,0,1,0,0,0,1,0,2016
14850138,N,01/07/2016,12:56 PM,65,11,1,1,1,2,4,22,1.0,227,22,30.32185338,-97.70685511,IH,35.0,238.025,IH0035,Y,N,2,THU,8.0,20.0,24.0,8.0,11.0,199837.0,2018.0,9.4,,,,0,1,3,0,0,4,0,2016
14851481,Y,01/05/2016,10:40 AM,50,11,1,1,5,2,1,10,1.0,227,538,30.30692476,-97.9406825,SH,71.0,108.961,SH0071,Y,Y,1,TUE,0.0,0.0,26.0,6.0,14.0,51884.0,2018.0,3.0,1.0,169.0,3.0,1,1,0,1,0,2,0,2016
14851678,N,01/08/2016,06:22 PM,55,11,4,1,5,2,2,22,1.0,227,9999,30.25357841,-97.60399734,FM,969.0,6.756,FM0969,Y,Y,2,FRI,0.0,0.0,0.0,2.0,17.0,22309.0,2018.0,6.4,1.0,400.0,2.0,0,1,0,7,0,1,0,2016
14852667,N,01/10/2016,07:36 PM,-1,11,4,1,20,2,3,10,1.0,227,9999,30.16113849,-97.68654336,FM,812.0,0.435,FM0812,Y,Y,1,SUN,0.0,0.0,0.0,4.0,16.0,14493.0,2018.0,6.9,,,,1,0,1,0,0,2,0,2016
14856469,N,01/08/2016,01:00 PM,55,12,1,1,11,2,4,30,1.0,227,9999,30.205070399999997,-97.91183723,RM,1826.0,2.417,RM1826,Y,Y,2,FRI,1.0,1.0,0.0,2.0,16.0,15562.0,2018.0,4.5,1.0,149.0,6.0,0,1,0,2,0,1,0,2016
14857188,N,01/07/2016,04:30 PM,70,11,1,1,11,2,4,22,1.0,227,22,30.1986358,-97.76394664,IH,35.0,228.689,IH0035,Y,N,2,THU,24.0,24.0,42.0,6.0,11.0,148474.0,2018.0,11.3,,,,0,1,0,2,0,1,0,2016
14857289,N,01/09/2016,12:39 PM,-1,11,1,1,5,2,1,34,1.0,227,22,30.33088548,-97.73154794,RM,2222.0,10.28,RM2222,Y,N,2,SAT,0.0,0.0,0.0,4.0,14.0,34181.0,2018.0,3.5,,,,0,1,0,1,0,1,0,2016
14857290,N,01/09/2016,11:47 AM,70,11,1,1,20,2,4,20,1.0,227,22,30.36443022,-97.68414019,IH,35.0,241.281,IH0035,Y,N,2,SAT,8.0,20.0,3.0,6.0,11.0,138459.0,2018.0,12.2,,,,0,1,0,1,1,1,0,2016
14857362,N,01/10/2016,04:20 PM,65,11,1,1,20,2,4,20,1.0,227,22,30.28538325,-97.7643188,SL,1.0,14.436,SL0001,Y,N,2,SUN,12.0,20.0,60.0,6.0,12.0,145144.0,2018.0,1.2,,,,0,1,0,1,1,1,0,2016
14857365,N,01/10/2016,07:46 PM,35,11,4,1,1,2,3,34,1.0,227,22,30.24274076,-97.78353425,SL,343.0,1.3259999999999998,SL0343,Y,N,2,SUN,0.0,0.0,0.0,4.0,14.0,36688.0,2018.0,1.5,,,,0,1,0,2,0,1,0,2016
14857366,N,01/11/2016,12:04 AM,55,11,4,1,11,7,4,3,4.0,227,22,30.2180017,-97.66791691,SH,71.0,128.739,SH0071,Y,N,2,MON,10.0,14.0,40.0,7.0,12.0,95090.0,2018.0,3.5,,,,0,1,0,3,0,1,0,2016
14857375,N,01/11/2016,02:53 PM,55,11,1,1,5,2,1,34,1.0,227,22,30.38815949,-97.75981145,SL,360.0,0.939,SL0360,Y,N,2,MON,8.0,20.0,48.0,4.0,14.0,53584.0,2018.0,2.7,,,,0,1,0,0,1,1,0,2016
14857381,N,01/11/2016,07:23 PM,60,11,4,1,20,2,4,20,1.0,227,22,30.24654758,-97.735025,IH,35.0,232.433,IH0035,Y,N,2,MON,4.0,10.0,3.0,6.0,11.0,150700.0,2018.0,10.7,,,,0,1,0,1,0,1,0,2016
14858259,N,01/06/2016,03:43 AM,60,11,3,1,20,2,3,22,1.0,227,9999,30.24269667,-97.62098218,FM,973.0,26.21,FM0973,Y,Y,2,WED,5.0,5.0,0.0,2.0,16.0,22301.0,2018.0,5.5,,,,0,2,0,0,0,2,0,2016
14859728,N,01/11/2016,04:36 PM,55,12,1,1,1,4,4,1,5.0,227,22,,,US,183.0,,US0183,Y,N,2,MON,,,,,,,,,,,,0,2,0,1,0,2,0,2016
14859766,N,01/11/2016,11:35 AM,65,12,1,1,20,7,4,1,2.0,227,9999,,,FM,734.0,,FM0734,Y,Y,2,MON,,,,,,,,,,,,0,1,0,0,0,1,0,2016
14859791,N,01/12/2016,01:43 PM,45,11,1,1,5,2,2,22,1.0,227,22,30.33917999,-97.70010376,IH,35.0,239.3,IH0035,Y,N,2,TUE,20.0,20.0,3.0,6.0,11.0,145168.0,2018.0,11.9,,,,0,1,0,3,0,1,0,2016
14859811,N,01/13/2016,07:23 AM,55,11,1,1,20,7,4,1,4.0,227,22,30.33378947,-97.68926126,US,183.0,319.401,US0183,Y,N,2,WED,4.0,10.0,24.0,5.0,12.0,61688.0,2018.0,6.9,,,,0,1,0,0,0,1,0,2016
14863190,N,01/12/2016,04:01 PM,65,11,1,1,5,2,1,10,1.0,227,9999,30.35240173,-97.59226227,SH,130.0,25.058000000000003,SH0130,Y,Y,2,TUE,8.0,20.0,135.0,4.0,12.0,39424.0,2018.0,17.9,,,,0,1,3,0,0,4,0,2016
14864859,N,01/16/2016,04:06 PM,45,11,1,1,5,2,1,34,1.0,227,330,30.43660355,-97.61391449,FM,685.0,7.957999999999998,FM0685,Y,N,2,SAT,1.0,1.0,0.0,4.0,16.0,29334.0,2018.0,4.3,,,,0,1,0,2,0,1,0,2016
14865990,N,01/07/2016,07:57 AM,50,5,1,2,5,2,1,34,1.0,227,538,30.30506304,-97.93604319,SH,71.0,109.266,SH0071,Y,Y,2,THU,8.0,8.0,0.0,4.0,14.0,50310.0,2018.0,3.1,,,,0,1,0,2,0,1,0,2016
14867740,N,01/01/2016,05:13 AM,50,2,4,2,20,2,4,22,1.0,227,22,30.33728692,-97.69654236,US,183.0,318.905,US0183,Y,N,1,FRI,20.0,20.0,24.0,6.0,12.0,61688.0,2018.0,6.9,,,,1,1,0,0,0,2,0,2016
14867752,N,01/07/2016,10:48 PM,60,11,4,1,5,2,1,34,1.0,227,22,30.38708413,-97.64859242,FM,734.0,14.168,FM0734,Y,N,2,THU,11.0,0.0,55.0,4.0,14.0,39056.0,2018.0,4.1,,,,0,2,0,1,0,2,0,2016
14867808,N,01/12/2016,01:05 PM,55,11,1,1,20,2,4,20,1.0,227,22,30.32151997,-97.81600284,SL,360.0,6.841,SL0360,Y,N,2,TUE,8.0,20.0,60.0,4.0,14.0,53846.0,2018.0,2.7,1.0,189.0,3.0,0,1,0,2,0,1,0,2016
14867814,N,01/13/2016,08:41 PM,65,11,4,1,1,2,2,20,1.0,227,22,30.20886441,-97.75592008,IH,35.0,229.541,IH0035,Y,N,2,WED,4.0,20.0,3.0,6.0,11.0,148474.0,2018.0,11.3,,,,0,2,0,1,0,2,0,2016
