REC,RIA_RTE_ID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,DI,CO,CITY,RU,F_SYSTEM,SPD_MAX,HP_MED_W,NUM_LANES,SUR_W,ADT_YEAR,ADT_CUR,ADT_ADJ,TRK_AADT_PCT,AADT_TRUCKS,LANE_WIDTH,LEN_SEC,LN_MILES,DVMT,DTRKVMT,HY_1,HY_2,HY_3,HY_4
1,FM0685-KG,7.856,7.894,FM0685,FM,685,14,227,32580,4,4,55,1,4,48,2019,29734,29734,4.3,1288,12,0.038,0.152,1129.892,48.943999999999996,29334,26538,28012,24253
1,FM0685-KG,5.858,6.348,FM0685,FM,685,14,227,32580,4,4,60,18,4,66,2019,29734,29734,4.3,1288,13,0.49,1.96,14569.66,631.12,29334,26538,28012,24253
1,FM0685-KG,7.894,7.957999999999999,FM0685,FM,685,14,227,32580,4,4,55,1,4,48,2019,29734,29734,4.3,1288,12,0.064,0.256,1902.976,82.432,29334,26538,28012,24253
1,FM0685-KG,5.599,5.858,FM0685,FM,685,14,227,32580,4,4,55,15,4,48,2019,29734,29734,4.3,1288,12,0.259,1.036,7701.106,333.592,29334,26538,28012,24253
1,FM0685-KG,6.367000000000001,7.856,FM0685,FM,685,14,227,32580,4,4,60,18,4,66,2019,29734,29734,4.3,1288,13,1.489,5.956,44273.926,1917.832,29334,26538,28012,24253
1,FM0685-KG,6.348,6.367000000000001,FM0685,FM,685,14,227,32580,4,4,60,18,4,66,2019,29734,29734,4.3,1288,13,0.019,0.076,564.946,24.471999999999998,29334,26538,28012,24253
1,FM0734-KG,9.491,9.583,FM0734,FM,734,14,227,2100,4,3,50,44,6,72,2019,50152,50152,3.9,1932,12,0.092,0.552,4613.984,177.74400000000003,61367,52498,60593,58489
1,FM0734-KG,11.600999999999999,11.606,FM0734,FM,734,14,227,2100,4,3,50,26,6,70,2019,57987,57987,3.8,2180,11,0.005,0.03,289.935,10.9,63366,52976,63923,61539
1,FM0812-KG,2.0980000000000003,2.303,FM0812,FM,812,14,227,0,4,4,60,10,2,24,2019,18161,18161,6.8,1234,12,0.205,0.41,3723.005,252.97,15228,13513,13415,9860
1,FM0734-KG,16.131,16.665,FM0734,FM,734,14,227,2100,4,3,65,76,4,68,2019,31436,31436,4.3,1341,13,0.534,2.136,16786.824,716.0939999999999,31624,26310,29826,27294
1,FM0734-KG,8.705,9.068,FM0734,FM,734,14,227,2100,4,3,55,44,6,72,2019,47579,47579,3.9,1851,12,0.363,2.178,17271.177,671.913,49788,44264,49448,45963
1,FM0812-KG,2.303,2.327,FM0812,FM,812,14,227,0,4,4,60,10,2,24,2019,18161,18161,6.8,1234,12,0.024,0.048,435.86400000000003,29.616,15228,13513,13415,9860
1,FM0734-KG,11.854000000000001,12.067,FM0734,FM,734,14,227,2100,4,3,50,46,6,66,2019,45775,45775,3.9,1794,12,0.213,1.278,9750.075,382.12199999999996,46970,40687,47105,44037
1,FM0812-KG,1.558,1.645,FM0812,FM,812,14,227,0,4,4,60,0,4,46,2019,17414,17414,6.9,1210,11,0.087,0.348,1515.0179999999998,105.27,14493,14315,15559,12065
1,FM0734-KG,18.987000000000002,19.004,FM0734,FM,734,14,227,2100,4,3,65,70,4,48,2019,22282,22282,4.7,1053,12,0.017,0.068,378.79400000000004,17.901,22111,16782,18033,17306
1,FM0734-KG,17.203,17.508,FM0734,FM,734,14,227,0,4,3,65,70,4,48,2019,22282,22282,4.7,1053,12,0.305,1.22,6796.01,321.165,22111,16782,18033,17306
